region,region_id
Region I,1
Region II,2
Region III,3
Region IV-A,4
MIMAROPA,5
Region V,6
Region VI,7
Region VII,8
Region VIII,9
Region IX,10
Region X,11
Region XI,12
Region XII,13
CARAGA,14
BARMM,15
CAR,16
NCR,17
PSO,18
