region,division,district,beis_school_id,school_name,street_address,province,municipality,legislative_district,barangay,sector,school_subclassification,school_type,modified_coc,g11_acad_-_abm_male,g11_acad_-_abm_female,g11_acad_-_humss_male,g11_acad_-_humss_female,g11_acad_stem_male,g11_acad_stem_female,g11_acad_gas_male,g11_acad_gas_female,g11_acad_pbm_male,g11_acad_pbm_female,g11_tvl_male,g11_tvl_female,g11_sports_male,g11_sports_female,g11_arts_male,g11_arts_female,g12_acad_-_abm_male,g12_acad_-_abm_female,g12_acad_-_humss_male,g12_acad_-_humss_female,g12_acad_stem_male,g12_acad_stem_female,g12_acad_gas_male,g12_acad_gas_female,g12_acad_pbm_male,g12_acad_pbm_female,g12_tvl_male,g12_tvl_female,g12_sports_male,g12_sports_female,g12_arts_male,g12_arts_female,total_non_graded_enrollment,total_male_enrollment,total_female_enrollment,total_enrollment
Region I,Vigan City,District I,407652,"Lyceum de Ylocos, Inc.",Jose Singson St.,ILOCOS SUR,CITY OF VIGAN (Capital),1st District,BARANGAY VIII,Private,Non-Sectarian ,School with no Annexes,Purely SHS,3,1,2,11,0,0,0,0,0,0,4,4,0,0,0,0,1,1,7,7,0,0,0,0,0,0,4,4,0,0,0,0,0,21,28,49
Region I,San Fernando City,San Fernando I,407650,AMA Computer College-San Fernando La Union Inc.,"MZF Bldg., Gen. Luna St.,",LA UNION,CITY OF SAN FERNANDO (Capital),1st District,BARANGAY I (POB.),Private,Sectarian ,School with no Annexes,Purely SHS,0,0,0,0,5,2,0,2,0,0,2,1,0,0,0,0,1,4,2,4,1,3,0,0,0,0,4,2,0,0,0,0,0,15,18,33
Region I,San Fernando City,San Fernando I,410179,"LA UNION COLLEGES OF SCIENCE & TECHNOLOGY, INC. - ANNEX","Mabini, Catbangen",LA UNION,CITY OF SAN FERNANDO (Capital),1st District,CATBANGEN,Private,Non-Sectarian ,Annex or Extension school(s),Purely SHS,0,0,1,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8
Region I,San Fernando City,San Fernando I,410486,"ST. JOHN PAUL II INSTITUTE OF TECHNOLOGY, TRAINING ASSESSMENT AND LEARNING CENTER INC.",AGUILA ROAD,LA UNION,CITY OF SAN FERNANDO (Capital),1st District,SEVILLA,Private,Non-Sectarian ,School with no Annexes,Purely SHS,0,8,13,13,8,11,0,0,0,0,22,17,0,0,0,0,1,9,10,13,6,10,0,0,0,0,14,9,0,0,0,0,0,74,90,164
Region I,Batac City,Batac I,340748,Ferdinand E. Marcos SHS,"ASUNCION ST., BRGY. 1-S VALDEZ, CITY OF BATAC",ILOCOS NORTE,CITY OF BATAC,2nd District,VALDEZ POB. (CAOAYAN),Public,DepED Managed,School with no Annexes,Purely SHS,0,0,0,0,14,26,97,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,134,0,0,0,0,0,0,0,0,0,261,249,510
Region I,Batac City,Batac II,340747,Gen. Artemio Ricarte SHS,"BIL-LOCA, CITY OF BATAC",ILOCOS NORTE,CITY OF BATAC,2nd District,BIL-LOCA,Public,DepED Managed,School with no Annexes,Purely SHS,42,60,0,0,49,79,0,0,0,0,0,0,0,0,0,0,26,53,0,0,49,74,0,0,0,0,0,0,0,0,0,0,0,166,266,432
Region II,Isabela,Aurora,342077,Aurora Senior High School,"Ballesteros, Aurora, Isabela",ISABELA,AURORA,2nd District,BALLESTEROS,Public,DepED Managed,School with no Annexes,Purely SHS,22,74,110,153,50,87,0,0,0,0,165,59,0,0,5,11,22,65,161,170,57,104,0,0,0,0,188,71,0,0,1,5,0,781,799,1580
Region II,Isabela,Cabagan,305941,Rodolfo B. Albano Stand-Alone Senior High School,"Mabini Avenue, Catabayungan, Cabagan, Isabela",ISABELA,CABANGAN,1st District,CATABAYUNGAN,Public,DepED Managed,School with no Annexes,Purely SHS,5,31,99,87,39,67,0,0,0,0,120,55,0,0,0,0,5,31,92,108,24,26,0,0,0,0,90,45,0,0,0,0,0,474,450,924
Region II,Isabela,Cabagan,600012,Isabela State University-Cabagan,"National Highway, Garita, Cabagan, Isabela",ISABELA,CABANGAN,1st District,GARITA,SUCsLUCs,SUC Managed,School with no Annexes,Purely SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,89,0,0,0,0,0,0,0,0,0,0,0,59,89,148
Region II,Isabela,Delfin Albano,305731,Delfin Albano (Magsaysay) Stand Alone Senior High School,"San Antonio, Delfin Albano, Isabela",ISABELA,DELFIN ALBANO (MAGSAYSAY),1st District,SAN ANTONIO,Public,DepED Managed,School with no Annexes,Purely SHS,6,22,45,39,20,39,0,0,0,0,69,42,0,0,0,0,7,12,25,28,24,43,0,0,0,0,44,27,0,0,0,0,0,240,252,492
