region,division,district,beis_school_id,school_name,street_address,province,municipality,legislative_district,barangay,sector,school_subclassification,school_type,modified_coc,g11_acad_-_abm_male,g11_acad_-_abm_female,g11_acad_-_humss_male,g11_acad_-_humss_female,g11_acad_stem_male,g11_acad_stem_female,g11_acad_gas_male,g11_acad_gas_female,g11_acad_pbm_male,g11_acad_pbm_female,g11_tvl_male,g11_tvl_female,g11_sports_male,g11_sports_female,g11_arts_male,g11_arts_female,g12_acad_-_abm_male,g12_acad_-_abm_female,g12_acad_-_humss_male,g12_acad_-_humss_female,g12_acad_stem_male,g12_acad_stem_female,g12_acad_gas_male,g12_acad_gas_female,g12_acad_pbm_male,g12_acad_pbm_female,g12_tvl_male,g12_tvl_female,g12_sports_male,g12_sports_female,g12_arts_male,g12_arts_female,total_non_graded_enrollment,total_male_enrollment,total_female_enrollment,total_enrollment
Region IV-A,Cavite,Noveleta,410468,"MOTHER THERESA COLEGIO DE NOVELETA, INC.",037 San Juan I,CAVITE,NOVELETA,1st District,SAN JUAN I,Private,Non-Sectarian ,School with no Annexes,Purely SHS,11,12,10,19,39,49,2,0,0,0,15,16,0,0,1,3,17,27,11,23,57,33,6,1,0,0,29,29,0,0,2,5,0,200,217,417
Region IV-A,Cavite,Rosario,342288,Escuela Secondaria Senor de Salinas,"Scout Torillo Brgy. Poblacion Rosario, Cavite",CAVITE,ROSARIO,1st District,POBLACION,Public,DepED Managed,School with no Annexes,Purely SHS,1,17,31,30,0,0,0,0,0,0,26,27,0,0,0,0,10,26,60,42,0,0,0,0,0,0,17,34,0,0,0,0,0,145,176,321
Region IV-A,Cavite,Rosario,402085,"STI College Rosario, Cavite, Inc.","STI Academic Center, Gen. Trias Drive Tejero, Rosario, Cavite",CAVITE,ROSARIO,1st District,TEJEROS CONVENTION,Private,Non-Sectarian ,School with no Annexes,Purely SHS,4,23,0,0,0,0,0,0,0,0,35,13,0,0,0,0,8,21,0,0,0,0,5,3,0,0,44,20,0,0,0,0,0,96,80,176
Region IV-A,Cavite,Rosario,410107,Salinas Westpoint College Inc.,Poblacion,CAVITE,ROSARIO,1st District,POBLACION,Private,Non-Sectarian ,School with no Annexes,Purely SHS,4,24,56,35,0,0,7,5,0,0,45,25,0,0,0,0,14,34,75,63,0,0,17,18,0,0,35,59,0,0,0,0,0,253,263,516
Region IV-A,Cavite,Rosario,410367,Datacom Institute of Computer Technology Corporation,9115 General Trias Drive,CAVITE,ROSARIO,1st District,TEJEROS CONVENTION,Private,Non-Sectarian ,School with no Annexes,Purely SHS,14,22,18,34,0,0,0,0,0,0,19,21,0,0,0,0,5,18,13,15,0,0,0,0,0,0,19,10,0,0,0,0,0,88,120,208
Region IV-A,Cavite,Silang I,410464,CITI GLOBAL COLLEGE INC.,`,CAVITE,SILANG,5th District,TARTARIA,Private,Non-Sectarian ,School with no Annexes,Purely SHS,3,15,41,44,13,5,0,0,0,0,25,19,0,0,0,0,5,18,45,32,17,22,6,8,0,0,23,18,0,0,0,0,0,178,181,359
Region IV-A,Cavite,Silang I,410792,Royal Heirs International School Inc.,B72 L13 & 14 Ipil II,CAVITE,SILANG,4th District,BULIHAN,Private,Non-Sectarian ,School with no Annexes,Purely SHS,1,3,31,2,0,0,0,0,0,0,0,0,0,0,0,0,8,14,29,16,0,0,0,0,0,0,0,0,0,0,0,0,0,69,35,104
Region IV-A,Cavite,Silang II,405058,South Forbes City College Corp.,"Brgy. Inchican, Silang, Cavite",CAVITE,SILANG,5th District,INCHICAN,Private,Non-Sectarian ,School with no Annexes,Purely SHS,3,3,0,0,0,0,5,17,0,0,12,6,0,0,0,0,4,3,0,0,0,0,5,8,0,0,3,4,0,0,0,0,0,32,41,73
Region IV-A,Cavite,Tagaytay City,402079,Olivarez College Tagaytay,"E. Aguinaldo Highway, Brgy. San Jose, Tagaytay City, Cavite",CAVITE,TAGAYTAY CITY,7th District,SAN JOSE,Private,Non-Sectarian ,School with no Annexes,Purely SHS,62,175,286,278,282,318,0,0,0,0,104,66,0,0,0,0,53,175,191,179,199,199,0,0,0,0,105,71,0,0,0,0,0,1282,1461,2743
Region IV-A,Cavite,Tagaytay City,402099,STI College - Tagaytay,"Frablyn Centrum Tower, Tagaytay Rotonda, Aguinaldo Highway, Tagaytay City",CAVITE,TAGAYTAY CITY,3rd District,SAN JOSE,Private,Non-Sectarian ,School with no Annexes,Purely SHS,2,2,0,0,0,0,1,5,0,0,11,2,0,0,0,0,2,3,0,0,0,0,0,1,0,0,11,2,0,0,0,0,0,27,15,42
Region IV-A,Cavite,Tagaytay City,600279,City College of Tagaytay,"Akle St., Kaybagal St.",CAVITE,TAGAYTAY CITY,7th District,KAYBAGAL SOUTH (POB.),SUCsLUCs,LUC,School with no Annexes,Purely SHS,2,14,30,29,19,23,0,0,0,0,14,11,0,0,0,0,16,43,63,91,38,51,0,0,0,0,48,26,0,0,0,0,0,230,288,518
Region IV-A,Cavite,Tanza,402081,Power School of Technology Inc.,516 A. Soriano Hi-Way,CAVITE,TANZA,7th District,DAANG AMAYA I,Private,Non-Sectarian ,School with no Annexes,Purely SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4
Region IV-A,Cavite,Tanza,407424,Far East Asia Pacific Institute of Tourism Science and Technology,"2nd Flr., Jackson Heights Bldg., Daang Amaya, Tanza, Cavite",CAVITE,TANZA,2nd District,DAANG AMAYA I,Private,Sectarian ,School with no Annexes,Purely SHS,30,84,99,130,75,124,0,0,0,0,147,135,0,0,0,0,18,70,30,56,44,54,0,0,0,0,67,73,0,0,0,0,0,510,726,1236
Region IV-A,Cavite,Ternate,407376,"Cavite West Point College, Inc.",Governor's Drive,CAVITE,TERNATE,7th District,POBLACION I A,Private,Sectarian ,School with no Annexes,Purely SHS,2,4,7,6,8,7,0,0,0,0,16,12,0,0,0,0,0,2,22,15,13,8,1,3,0,0,10,13,0,0,0,0,0,79,70,149
Region IV-A,Cavite,Trece Martirez City,342292,Trece Martires City Senior High School,Purok 10 San Agustin,CAVITE,TRECE MARTIRES CITY (Capital),6th District,GREGORIO (ALIANG),Public,DepED Managed,School with no Annexes,Purely SHS,41,78,172,185,68,79,0,0,0,0,48,64,0,0,0,0,22,43,197,191,63,72,0,0,0,0,45,59,0,0,0,0,0,656,771,1427
Region IV-A,Cavite,Trece Martirez City,409623,New Generation International School Inc.,9044 Governor's Drive,CAVITE,TRECE MARTIRES CITY (Capital),6th District,SAN AGUSTIN (POB.),Private,Non-Sectarian ,Mother school,Purely SHS,15,62,109,92,0,0,0,0,0,0,0,0,0,0,0,0,18,53,95,73,0,0,0,0,0,0,0,0,0,0,0,0,0,237,280,517
Region IV-A,Laguna,Alaminos,402147,"AMA Computer College-Sta. Cruz,Laguna","Ng Cha Bldg. P. Guevara Ave., Sta. Cruz Laguna",LAGUNA,SANTA CRUZ (Capital),4th District,BARANGAY I (POB.),Private,Non-Sectarian ,School with no Annexes,Purely SHS,6,4,9,5,9,5,0,1,0,0,4,1,0,0,0,0,5,18,29,30,20,16,8,8,0,0,13,2,0,0,0,0,0,103,90,193
Region IV-A,Laguna,Alaminos,402184,STI College - Sta. Cruz,"1522 P. Guevarra Ave., Sta. Cruz, Laguna",LAGUNA,SANTA CRUZ (Capital),4th District,BARANGAY I (POB.),Private,Non-Sectarian ,School with no Annexes,Purely SHS,15,33,22,38,95,137,0,0,0,0,55,40,0,0,0,0,15,42,11,17,69,86,5,4,0,0,33,27,0,0,0,0,0,320,424,744
Region IV-A,Laguna,Bay,402158,"CARD-MRI Development Institute, Inc.","Purok 3, Brgy. Tranca, Bay, Laguna",LAGUNA,BAY,2nd District,TRANCA,Private,Non-Sectarian ,School with no Annexes,Purely SHS,16,36,0,0,0,0,0,0,0,0,46,44,0,0,0,0,34,74,0,0,0,0,0,0,0,0,42,39,0,0,0,0,0,138,193,331
Region IV-A,Laguna,Bay,411007,CITI GLOBAL COLLEGE INC.,"Barangay San Agustin, Bay, Laguna",LAGUNA,BAY,2nd District,SAN AGUSTIN (POB.),Private,Sectarian ,School with no Annexes,Purely SHS,45,65,58,63,0,0,0,0,0,0,26,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,139,268
Region IV-A,Laguna,Calauan,408877,Luzonian Center of Excellence for Science and Technology Inc.,Maharlika Highway,LAGUNA,CALAUAN,3rd District,KANLURAN (POB.),Private,Non-Sectarian ,School with no Annexes,Purely SHS,24,49,0,0,0,0,0,0,0,0,98,47,0,0,0,0,17,49,0,0,0,0,0,0,0,0,108,70,0,0,0,0,0,247,215,462
Region IV-A,Laguna,Liliw,304846,Liliw Senior High School,"Ibabang Taykin, Liliw, Laguna",LAGUNA,LILIW,3rd District,IBABANG TAYKIN,Public,DepED Managed,School with no Annexes,Purely SHS,12,26,0,0,0,0,0,0,0,0,97,69,0,0,0,0,11,42,0,0,0,0,0,0,0,0,100,79,0,0,0,0,0,220,216,436
Region IV-A,Laguna,Los Baños,342349,LOS BAÑOS SENIOR HIGH SCHOOL (SHS) STAND ALONE,"San Antonio, Los Banos, Laguna",LAGUNA,LOS BAÑOS,2nd District,SAN ANTONIO,Public,DepED Managed,School with no Annexes,Purely SHS,0,0,25,58,77,135,0,0,0,0,0,0,0,0,0,0,0,0,31,39,78,142,0,0,0,0,0,0,0,0,0,0,0,211,374,585
Region IV-A,Laguna,Los Baños,342350,Los Baños Bambang Senior High School Stand Alone,"-Purok 3, Bambang",LAGUNA,LOS BAÑOS,2nd District,BAMBANG,Public,DepED Managed,School with no Annexes,Purely SHS,0,0,0,0,0,0,7,13,0,0,19,5,0,0,0,0,0,0,0,0,0,0,24,37,0,0,27,7,0,0,0,0,0,77,62,139
Region IV-A,Laguna,Los Baños,342351,Los Baños Lalakay Senior High School Stand Alone,"National Road, Lalakay, Los Banos, Laguna",LAGUNA,LOS BAÑOS,2nd District,LALAKAY,Public,DepED Managed,School with no Annexes,Purely SHS,3,7,0,0,0,0,0,0,0,0,31,24,0,0,0,0,14,16,0,0,0,0,0,0,0,0,75,34,0,0,0,0,0,123,81,204
Region IV-A,Laguna,Los Baños,342352,Los Baños Bayog Senior High School Stand Alone,-Tagpuan Bayog Los Banos Laguna,LAGUNA,LOS BAÑOS,2nd District,BAYOG,Public,DepED Managed,School with no Annexes,Purely SHS,0,0,0,0,0,0,36,33,0,0,11,14,0,0,0,0,0,0,0,0,0,0,62,37,0,0,15,18,0,0,0,0,0,124,102,226
Region IV-A,Laguna,Lumban-Kalayaan,302159,Lumban Senior High School,Gen. Luna St.,LAGUNA,LUMBAN,4th District,WAWA,Public,DepED Managed,School with no Annexes,Purely SHS,9,11,34,33,0,0,0,0,0,0,0,0,0,0,0,0,12,16,54,32,0,0,0,0,0,0,0,0,0,0,0,0,0,109,92,201
Region IV-A,Laguna,Lumban-Kalayaan,342343,Barangay Longos Senior High School,"Concepcion St., Barangay Longos",LAGUNA,KALAYAAN,4th District,LONGOS,Public,DepED Managed,School with no Annexes,Purely SHS,0,0,16,10,0,0,10,10,0,0,30,17,0,0,0,0,0,0,10,12,0,0,12,9,0,0,30,18,0,0,0,0,0,108,76,184
Region IV-A,Laguna,Nagcarlan-Rizal,342347,Nagcarlan Senior High School,"Kanluran Kabubuhayan, Nagcarlan",LAGUNA,NAGCARLAN,3rd District,KANLURAN KABUBUHAYAN,Public,DepED Managed,School with no Annexes,Purely SHS,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,13,0,0,0,0,0,23,20,43
Region IV-A,Laguna,Paete,342357,LUIS C. OBIAL SENIOR HIGH SCHOOL,-Manila East Road Brgy.9 Ibaba del Norte Paete LAguna,LAGUNA,PAETE,4th District,IBABA DEL NORTE (POB.),Public,DepED Managed,School with no Annexes,Purely SHS,5,11,0,0,5,4,0,0,0,0,78,52,0,0,0,0,15,23,0,0,4,10,0,0,0,0,79,43,0,0,0,0,0,186,143,329
Region IV-A,Laguna,Paete,342363,Stand Alone SHS No. 21 Papatahan,Sitio Papatahan,LAGUNA,PAETE,4th District,IBABA DEL NORTE (POB.),Public,DepED Managed,School with no Annexes,Purely SHS,0,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,18,17,35
Region IV-A,Laguna,Pagsanjan,306259,Biñan Pagsanjan Senior High School,`,LAGUNA,PAGSANJAN,4th District,BIÃ‘AN,Public,DepED Managed,School with no Annexes,Purely SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Laguna,Pagsanjan,342345,Pagsanjan Stand-Alone Senior High School,E.R. Ville Street,LAGUNA,PAGSANJAN,4th District,DINGIN,Public,DepED Managed,School with no Annexes,Purely SHS,0,0,0,0,0,0,0,0,0,0,38,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,14,0,0,0,0,0,77,28,105
Region IV-A,Laguna,Pagsanjan,402157,ANGELITA V. DEL MUNDO FOUNDATION (AVM FOUNDATION) INC.,"Rear Entrance Vonwelt Bldg., 3521 Rizal St., Pagsanjan, Laguna",LAGUNA,PAGSANJAN,4th District,BARANGAY I (POB.),Private,Non-Sectarian ,School with no Annexes,Purely SHS,4,25,45,29,18,14,5,4,0,0,32,26,0,0,0,0,12,25,58,46,19,31,6,7,0,0,57,49,0,0,0,0,0,256,256,512
Region IV-A,Laguna,Pagsanjan,410793,"Asian Institute of Technology, Sciences, and  the Arts (AITSA), Inc.","2nd Floor JBR Bldg.,",LAGUNA,PAGSANJAN,4th District,SAMPALOC,Private,Non-Sectarian ,School with no Annexes,Purely SHS,1,1,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,12
Region IV-A,Laguna,Pangil-Pakil,342344,PAKIL SENIOR HIGH SCHOOL (Stand Alone SHS No. 2 Pakil),"V. Rarela St., Brgy. Burgos, Pakil, Laguna",LAGUNA,PAKIL,4th District,BURGOS (POB.),Public,DepED Managed,School with no Annexes,Purely SHS,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,22,0,0,0,0,0,0,0,0,0,52,49,101
Region IV-A,Laguna,Pila,342358,Pila Senior High School,"-Brgy Pinagbayanan, Pila, Laguna",LAGUNA,PILA,4th District,PINAGBAYANAN,Public,DepED Managed,School with no Annexes,Purely SHS,7,15,48,68,0,0,0,0,0,0,66,29,0,0,0,0,9,15,45,50,0,0,12,4,0,0,108,16,0,0,0,0,0,295,197,492
Region IV-A,Laguna,Santa Cruz,342346,LAGUNA SENIOR HIGH SCHOOL,Barangay 1- Poblacion,LAGUNA,SANTA CRUZ (Capital),4th District,BARANGAY II (POB.),Public,DepED Managed,School with no Annexes,Purely SHS,139,188,224,215,243,251,0,0,0,0,0,0,0,0,0,0,212,225,319,245,194,222,0,0,0,0,0,0,0,0,0,0,0,1331,1346,2677
Region IV-A,Laguna,Santa Cruz,402138,ACTS Computer College,"P. Guevara Ave., cor A. Bonifacio St., Sta. Cruz, Laguna",LAGUNA,SANTA CRUZ (Capital),4th District,BARANGAY IV (POB.),Private,Sectarian ,School with no Annexes,Purely SHS,39,76,142,133,72,79,0,0,0,0,65,19,0,0,0,0,24,60,66,89,50,60,0,0,0,0,65,19,0,0,0,0,0,523,535,1058
Region IV-A,Laguna,Santa Cruz,402172,Philippine Women's University-CDCEC-Sta. Cruz,"M. H. del Pilar St., Poblacion III, Santa Cruz, Laguna",LAGUNA,SANTA CRUZ (Capital),4th District,BARANGAY III (POB.),Private,Non-Sectarian ,School with no Annexes,Purely SHS,20,58,0,0,152,188,0,0,0,0,112,74,0,0,0,0,9,19,0,0,64,74,0,0,0,0,41,35,0,0,0,0,0,398,448,846
Region IV-A,Laguna,Santa Cruz,600191,Laguna University,"Laguna Sports Complex, Brgy. Bubukal, Sta. Cruz, Laguna",LAGUNA,SANTA CRUZ (Capital),4th District,BUBUKAL,SUCsLUCs,LUC,School with no Annexes,Purely SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,77,47,80,49,86,0,0,0,0,37,14,0,0,0,0,0,170,257,427
Region IV-A,Laguna,Siniloan,407517,Laguna Northwestern College-SLRMC,"Brgy. Buhay, Siniloan, Laguna",LAGUNA,SINILOAN,1st District,BUHAY,Private,Sectarian ,School with no Annexes,Purely SHS,6,4,7,10,3,1,0,0,0,0,5,7,0,0,0,0,0,6,7,7,4,3,0,0,0,0,10,1,0,0,0,0,0,42,39,81
Region IV-A,Laguna,Victoria,342348,Victoria Senior High School,E. Quirino Street,LAGUNA,VICTORIA,3rd District,NANHAYA (POB.),Public,DepED Managed,School with no Annexes,Purely SHS,0,0,0,0,0,0,0,0,0,0,77,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,26,0,0,0,0,0,131,52,183
Region IV-A,Laguna,Victoria,410108,MOREH GLOBAL INNOVATIVE COLLEGE INCORPORATED,169 San Francisco,LAGUNA,VICTORIA,3rd District,BANCA-BANCA,Private,Non-Sectarian ,School with no Annexes,Purely SHS,3,22,43,30,7,13,0,0,0,0,7,10,0,0,0,0,13,22,49,47,14,12,0,0,0,0,29,15,0,0,0,0,0,165,171,336
Region IV-A,Quezon,Atimonan,407277,"CSTC College of Sciences, Technology, and Communications, Inc.","Brgy. Tagbakin, Atimonan Quezon",QUEZON,ATIMONAN,4th District,TAGBAKIN,Private,Sectarian ,School with no Annexes,Purely SHS,3,9,23,29,0,0,0,0,0,0,80,42,0,0,0,0,2,5,13,15,0,0,11,8,0,0,89,35,0,0,0,0,0,221,143,364
Region IV-A,Quezon,Atimonan,410043,ACEBA SCIENCE AND TECHNOLOGY INSTITUTE INC.,"De Gracia cor. Mabini St.,",QUEZON,ATIMONAN,4th District,BARANGAY ZONE  1 (POB.),Private,Non-Sectarian ,School with no Annexes,Purely SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Region IV-A,Quezon,Calauag East,408765,RNC TECHNICAL LEARNING CENTER,Brgy. Sta. Maria,QUEZON,CALAUAG,4th District,SANTA MARIA,Private,Non-Sectarian ,School with no Annexes,Purely SHS,0,0,0,0,0,0,0,0,0,0,49,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,47,0,0,0,0,0,89,93,182
Region IV-A,Quezon,Calauag East,410184,"Manuel S. Enverga University Foundation, Inc.",Pan-Philippine Highway,QUEZON,CALAUAG,4th District,SANTA MARIA,Private,Non-Sectarian ,School with no Annexes,Purely SHS,7,26,27,36,62,43,0,0,0,0,0,0,0,0,0,0,12,18,29,28,39,66,0,0,0,0,0,0,0,0,0,0,0,176,217,393
Region IV-A,Quezon,Catanauan,406992,"Philtech Institute of Arts and Technology Inc.-Catanauan, Quezon","PIAT Bldg., Brgy. Dyes, Rotonda, Catanuan, Quezon",QUEZON,CATANAUAN,3rd District,BARANGAY 10 (POB.),Private,Sectarian ,School with no Annexes,Purely SHS,3,14,0,0,0,0,0,0,0,0,84,64,0,0,0,0,3,25,0,0,0,0,0,0,0,0,85,91,0,0,0,0,0,175,194,369
Region IV-A,Quezon,Guinayangan,305768,Guinayangan Senior High School,"Bliss Site, Brgy. Sisi",QUEZON,GUINAYANGAN,4th District,SISI,Public,DepED Managed,School with no Annexes,Purely SHS,10,31,36,41,12,10,45,46,0,0,97,59,0,0,0,0,27,51,37,47,18,12,41,48,0,0,82,50,0,0,0,0,0,405,395,800
Region IV-A,Quezon,Gumaca East,405245,Philtech Institute of Arts and Technology Inc.,"2nd Flr., Hong Bldg., San Diego, Gumaca, Quezon",QUEZON,GUMACA,4th District,SAN DIEGO POBLACION,Private,Non-Sectarian ,School with no Annexes,Purely SHS,11,32,0,0,0,0,0,0,0,0,78,73,0,0,0,0,7,23,0,0,0,0,0,0,0,0,61,74,0,0,0,0,0,157,202,359
Region IV-A,Quezon,Infanta,402215,"ACTS Computer College-Infanta, Inc.","Gen. Luna St., Poblacion 39, Infanta, Quezon",QUEZON,INFANTA,1st District,POBLACION 39 (POBLACION BARANGAY 3),Private,Non-Sectarian ,School with no Annexes,Purely SHS,2,5,2,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0,10,19,29
Region IV-A,Quezon,Infanta,402225,"Northern Quezon College, Inc.","National Highway, Brgy. Comon, Infanta, Quezon",QUEZON,INFANTA,1st District,COMON,Private,Non-Sectarian ,School with no Annexes,Purely SHS,12,19,27,50,29,41,0,0,0,0,0,0,0,0,0,0,2,8,10,16,11,12,0,0,0,0,0,0,0,0,0,0,0,91,146,237
Region IV-A,Quezon,Lucban,406991,"Banahaw Technological College, Inc.","Lucban, Quezon",QUEZON,LUCBAN,1st District,MANASA,Private,Non-Sectarian ,School with no Annexes,Purely SHS,0,0,2,14,0,0,0,0,0,0,32,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,40,0,0,0,0,0,103,73,176
Region IV-A,Quezon,Mauban South,407419,Aceba Science & Tech. Institute (ASTI) Inc.,"De Vera St., Barangay Daungan, Mauban, Quezon",QUEZON,MAUBAN,1st District,DAUNGAN (POB.),Private,Sectarian ,School with no Annexes,Purely SHS,2,6,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,31,29,0,0,0,0,0,35,47,82
Region IV-A,Quezon,Quezon,410878,ASIAN COLLEGE OF COMPUTER AND MARITIME STUDIES (ACCMS) INC.,"Fueven Bldg., Doña Carmen De Luna St.",QUEZON,CATANAUAN,3rd District,BARANGAY  6 (POB.),Private,Non-Sectarian ,School with no Annexes,Purely SHS,0,0,0,0,0,0,0,0,0,0,15,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,29
Region IV-A,Quezon,San Antonio,405229,ICT-ED Institute of Science and Technology,"#143 ME. Harina St., Poblacion, San Antonio, Quezon",QUEZON,SAN ANTONIO,2nd District,POBLACION,Private,Non-Sectarian ,School with no Annexes,Purely SHS,3,6,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,9,20,29
Region IV-A,Quezon,Tagkawayan,408775,"ACEBA SCIENCE AND TECHNOLOGY INSTITUTE, INC.","M. L. Eleazar St.,",QUEZON,TAGKAWAYAN,4th District,POBLACION,Private,Non-Sectarian ,School with no Annexes,Purely SHS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,5,1,6
Region IV-A,Quezon,Tagkawayan,409718,"PHILTECH INSTITUTE OF ARTS & TECHNOLOGY, INC.",`,QUEZON,TAGKAWAYAN,4th District,ALDAVOC,Private,Non-Sectarian ,School with no Annexes,Purely SHS,1,3,0,0,0,0,18,7,0,0,10,21,0,0,0,0,3,10,0,0,0,0,14,8,0,0,18,18,0,0,0,0,0,64,67,131
Region IV-A,Quezon,Tiaong,402216,Asian Institute of Technology and Education,"Olinsterg Bldg., Poblacion III, Tiaong, Quezon",QUEZON,TIAONG,2nd District,BARANGAY III (POB.),Private,Non-Sectarian ,School with no Annexes,Purely SHS,5,25,50,76,0,0,0,0,0,0,46,25,0,0,0,0,8,35,57,80,0,0,0,0,0,0,40,34,0,0,0,0,0,206,275,481
Region IV-A,Quezon,Tiaong,410524,"Olinsterg College, Inc.","Zen Bldg., Maharlika Highway",QUEZON,TIAONG,2nd District,LUMINGON,Private,Non-Sectarian ,School with no Annexes,Purely SHS,4,15,16,35,0,0,0,0,0,0,9,20,0,0,0,0,1,7,13,18,0,0,0,0,0,0,8,2,0,0,0,0,0,51,97,148
Region IV-A,Quezon,Tiaong,410989,LYCEUM TECHNOLOGICAL COLLEGE INC.,"Brgy. Talisay, Tiaong, Quezon",QUEZON,TIAONG,2nd District,TALISAY,Private,Sectarian ,School with no Annexes,Purely SHS,0,1,3,5,8,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,27
Region IV-A,Rizal,Angono,402245,College of Arts and Sciences of Asia and the Pacific (CASAP)-Taytay,"CASAP Bldg., 199 JEM Bldg., Rizal Ave., Taytay, Rizal",RIZAL,TAYTAY,1st District,SAN ISIDRO,Private,Non-Sectarian ,School with no Annexes,Purely SHS,5,11,6,28,120,111,0,0,0,0,19,22,0,0,0,0,1,3,4,2,60,42,4,0,0,0,3,6,0,0,0,0,0,222,225,447
Region IV-A,Rizal,Angono,402248,"Daehan College of Business and Technology, Inc.","Road 20, Sitio Siwang, Damayan Floodway, Siwang, San Juan, Taytay, Rizal",RIZAL,TAYTAY,1st District,SAN JUAN,Private,Non-Sectarian ,School with no Annexes,Purely SHS,15,34,28,54,0,0,4,4,0,0,40,47,0,0,3,5,10,29,24,41,0,0,11,9,0,0,48,38,0,0,0,5,0,183,266,449
Region IV-A,Rizal,Angono,402250,East Systems Colleges of Rizal,"J. Pascual St., San Pedro, Morong, Rizal",RIZAL,MORONG,2nd District,SAN PEDRO (POB.),Private,Non-Sectarian ,School with no Annexes,Purely SHS,0,0,8,11,0,0,0,0,0,0,16,4,0,0,0,0,1,3,10,4,0,0,0,0,0,0,9,8,0,0,0,0,0,44,30,74
Region IV-A,Rizal,Angono,402252,"ICCT Colleges Foundation, Inc.-Cainta","V.V. Soliven Avenue II, Cainta, Rizal",RIZAL,CAINTA,1st District,SAN ISIDRO,Private,Non-Sectarian ,School with no Annexes,Purely SHS,23,51,98,83,85,65,0,0,0,0,78,63,0,0,0,0,41,65,98,69,52,48,0,0,0,0,62,46,0,0,0,0,0,537,490,1027
Region IV-A,Rizal,Angono,402257,"ICCT Colleges Foundation, Inc.-Binangonan Campus","National Hi-way, Brgy. Calumpang, Binangonan, Rizal",RIZAL,BINANGONAN,1st District,CALUMPANG,Private,Non-Sectarian ,School with no Annexes,Purely SHS,10,29,23,30,31,34,0,0,0,0,32,12,0,0,0,0,14,46,39,42,56,53,0,0,0,0,33,38,0,0,0,0,0,238,284,522
Region IV-A,Rizal,Angono,402258,"ICCT Colleges Foundation, Inc.-San Mateo Campus","General Luna Road cor. Resurrecsion St., Brgy. Sta. Ana, San Mateo, Rizal",RIZAL,SAN MATEO,2nd District,SANTA ANA,Private,Non-Sectarian ,School with no Annexes,Purely SHS,4,7,11,12,16,10,0,0,0,0,27,10,0,0,0,0,12,19,15,14,29,22,0,0,0,0,21,11,0,0,0,0,0,135,105,240
Region IV-A,Rizal,Angono,402259,"ICCT Colleges Foundation, Inc.-Taytay Campus","Cabrera Road cor. Manila East Road, Brgy, San Juan, Taytay, Rizal",RIZAL,TAYTAY,1st District,SAN JUAN,Private,Non-Sectarian ,School with no Annexes,Purely SHS,12,25,29,44,27,25,0,0,0,0,35,23,0,0,0,0,12,28,27,25,20,27,0,0,0,0,18,24,0,0,0,0,0,180,221,401
Region IV-A,Rizal,Angono,402261,"Gardner College Cainta, Inc.","RDS Bldg., Felix Ave., Brgy. San Isidro, Cainta, Rizal",RIZAL,CAINTA,1st District,SAN ISIDRO,Private,Non-Sectarian ,School with no Annexes,Purely SHS,33,87,75,87,77,85,0,0,0,0,51,30,0,0,0,0,56,157,79,116,58,91,0,0,0,0,76,51,0,0,0,0,0,505,704,1209
