region,division,district,beis_school_id,school_name,street_address,province,municipality,legislative_district,barangay,sector,school_subclassification,school_type,modified_coc,g7_male,g8_male,g9_male,g10_male,g7_female,g8_female,g9_female,g10_female,jhs_ng_male,jhs_ng_female,g11_acad_-_abm_male,g11_acad_-_abm_female,g11_acad_-_humss_male,g11_acad_-_humss_female,g11_acad_stem_male,g11_acad_stem_female,g11_acad_gas_male,g11_acad_gas_female,g11_acad_pbm_male,g11_acad_pbm_female,g11_tvl_male,g11_tvl_female,g11_sports_male,g11_sports_female,g11_arts_male,g11_arts_female,g12_acad_-_abm_male,g12_acad_-_abm_female,g12_acad_-_humss_male,g12_acad_-_humss_female,g12_acad_stem_male,g12_acad_stem_female,g12_acad_gas_male,g12_acad_gas_female,g12_acad_pbm_male,g12_acad_pbm_female,g12_tvl_male,g12_tvl_female,g12_sports_male,g12_sports_female,g12_arts_male,g12_arts_female,total_non_graded_enrollment,total_male_enrollment,total_female_enrollment,total_enrollment
Region I,Ilocos Norte,Bacarra I,300002,Bacarra NCHS,"Torcuato Ver Street, Brgy. 1 Sta. Rita, Bacarra, Ilocos Norte",ILOCOS NORTE,BACARRA,1st District,SANTA RITA (POB.),Public,DepED Managed,School with no Annexes,JHS with SHS,184,238,226,261,168,197,229,279,8,5,23,75,98,104,27,48,0,0,0,0,153,44,0,0,0,0,31,63,81,98,27,52,0,0,0,0,165,51,0,0,0,0,13,1522,1413,2935
Region I,Ilocos Norte,Bacarra I,300007,Cadaratan National High School,"#30, Cadaratan, Bacarra, Ilocos Norte",ILOCOS NORTE,BACARRA,1st District,CADARATAN,Public,DepED Managed,School with no Annexes,JHS with SHS,54,33,55,53,45,51,47,67,0,0,0,0,17,20,0,0,31,14,0,0,0,0,0,0,0,0,0,0,21,15,0,0,25,22,0,0,0,0,0,0,0,0,0,289,281,570
Region I,Ilocos Norte,Bacarra I,400001,"St. Andrew Academy of Bacarra, Inc.","Brgy. 1, Sta. Rita, Bacarra, Ilocos Norte",ILOCOS NORTE,BACARRA,1st District,SANTA RITA (POB.),Private,Sectarian ,School with no Annexes,JHS with SHS,7,7,5,6,2,3,5,2,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,38,18,56
Region I,Ilocos Norte,Badoc,300021,Nagrebcan NHS,"Alay, Badoc, Ilocos Norte",ILOCOS NORTE,BADOC,2nd District,ALAY-NANGBABAAN (ALAY 15-B),Public,DepED Managed,School with no Annexes,JHS with SHS,37,42,45,31,27,35,27,26,0,0,0,0,0,0,0,0,24,21,0,0,21,9,0,0,0,0,0,0,0,0,0,0,12,10,0,0,17,11,0,0,0,0,0,229,166,395
Region I,Ilocos Norte,Badoc,300023,Pagsanahan NHS,5-A Pagsanahan,ILOCOS NORTE,BADOC,2nd District,PAGSANAHAN NORTE,Public,DepED Managed,School with no Annexes,JHS with SHS,36,41,46,39,30,31,35,40,0,0,0,0,12,13,0,0,0,0,0,0,28,9,0,0,0,0,0,0,17,13,0,0,0,0,0,0,31,15,0,0,0,0,0,250,186,436
Region I,Ilocos Norte,Badoc,400002,"Badoc Junior College, Inc.","Juan Luna Street, Bgy. Canaan (Pob.), Badoc, Ilocos Norte",ILOCOS NORTE,BADOC,2nd District,CANAAN (POB.),Private,Non-Sectarian ,School with no Annexes,JHS with SHS,10,16,25,30,11,17,22,15,0,0,16,8,0,0,0,0,0,0,0,0,19,13,0,0,0,0,10,3,0,0,0,0,0,0,0,0,26,6,0,0,0,0,0,152,95,247
Region I,Ilocos Norte,Badoc,400004,"Juan Luna Memorial Academy, Inc.","cor. Parson and Osmena Sts., Brgy. Alogoog, Badoc, Ilocos Norte",ILOCOS NORTE,BADOC,2nd District,ALOGOOG,Private,Non-Sectarian ,School with no Annexes,JHS with SHS,45,40,46,48,51,50,42,49,0,0,0,0,0,0,16,26,22,18,0,0,0,0,0,0,0,0,0,0,0,0,18,16,38,14,0,0,0,0,0,0,0,0,0,273,266,539
Region I,Ilocos Norte,Bangui,300003,Bangui NHS,Alfredo Garvida St.,ILOCOS NORTE,BANGUI,1st District,SAN LORENZO (POB.),Public,DepED Managed,School with no Annexes,JHS with SHS,85,65,70,106,74,92,89,105,0,0,0,0,0,0,33,45,31,36,0,0,34,7,0,0,0,0,0,0,0,0,29,43,35,32,0,0,36,24,0,0,0,0,0,524,547,1071
Region I,Ilocos Norte,Bangui,300017,Dumalneg NHS,Purok Regta,ILOCOS NORTE,DUMALNEG,1st District,QUIBEL (DUMALNEG),Public,DepED Managed,School with no Annexes,JHS with SHS,20,20,19,33,18,18,30,34,0,0,0,0,9,13,0,0,0,0,0,0,16,17,0,0,0,0,0,0,8,21,0,0,0,0,0,0,14,8,0,0,0,0,0,139,159,298
Region I,Ilocos Norte,Bangui,320801,BANBAN NHS,-,ILOCOS NORTE,BANGUI,1st District,BANBAN,Public,DepED Managed,School with no Annexes,JHS with SHS,38,51,42,60,34,44,43,44,0,0,0,0,40,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,24,0,0,9,17,0,0,0,0,0,0,0,0,0,272,247,519
Region I,Ilocos Norte,Bangui,320802,LANAO NATIONAL HIGH SCHOOL,"Provincial Rd,, Lanao, Bangui, ILocos Norte",ILOCOS NORTE,BANGUI,1st District,LANAO,Public,DepED Managed,School with no Annexes,JHS with SHS,18,25,30,31,29,25,38,31,0,0,18,16,19,18,0,0,0,0,0,0,0,0,0,0,0,0,14,12,15,27,0,0,0,0,0,0,0,0,0,0,0,0,0,170,196,366
Region I,Ilocos Norte,Bangui,400006,"St. Lawrence the Deacon Academy of Bangui, Ilocos Norte, Inc.","A. Acoba, Brgy. San Lorenzo, Bangui, Ilocos Norte",ILOCOS NORTE,BANGUI,1st District,SAN LORENZO (POB.),Private,Sectarian ,School with no Annexes,JHS with SHS,6,5,6,2,9,5,6,6,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,23,32,55
Region I,Ilocos Norte,Banna (Espiritu),300004,Banna National High School,"Zamora St., Banna, Ilocos Norte",ILOCOS NORTE,BANNA (ESPIRITU),2nd District,LORENZO (POB.),Public,DepED Managed,School with no Annexes,JHS with SHS,35,45,41,55,29,51,62,57,0,0,5,17,26,25,20,9,0,0,0,0,0,0,0,0,0,0,6,12,16,18,10,17,0,0,0,0,0,0,0,0,0,0,0,259,297,556
Region I,Ilocos Norte,Banna (Espiritu),300008,Caestebanan NHS,"14 Sinamar, Banna, Ilocos Norte",ILOCOS NORTE,BANNA (ESPIRITU),2nd District,SINAMAR,Public,DepED Managed,School with no Annexes,JHS with SHS,18,30,35,22,13,14,27,33,0,0,3,7,5,13,3,8,0,0,0,0,16,0,0,0,0,0,3,12,14,7,2,6,0,0,0,0,7,0,0,0,0,0,0,158,140,298
Region I,Ilocos Norte,Banna (Espiritu),300010,Caribquib NHS,Ilocos Norte-Abra Rd.ONE,ILOCOS NORTE,BANNA (ESPIRITU),2nd District,CARIBQUIB,Public,DepED Managed,School with no Annexes,JHS with SHS,11,10,11,21,13,8,15,21,0,0,0,0,0,0,0,0,23,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,0,0,0,0,0,0,0,0,0,91,82,173
Region I,Ilocos Norte,Banna (Espiritu),300011,Catagtaguen National High School,Ilocos-Norte Abra Road,ILOCOS NORTE,BANNA (ESPIRITU),2nd District,CATAGTAGUEN,Public,DepED Managed,School with no Annexes,JHS with SHS,19,37,43,38,18,23,33,33,0,0,0,0,0,0,3,12,17,16,0,0,17,0,0,0,0,0,0,0,0,0,8,8,16,24,0,0,19,3,0,0,0,0,0,217,170,387
Region I,Ilocos Norte,Banna (Espiritu),400013,Banna Academy Inc.,"San Agustin St., Brgy.1 Valenciano  Banna Ilocos Norte",ILOCOS NORTE,BANNA (ESPIRITU),2nd District,VALENCIANO (POB.),Private,Non-Sectarian ,School with no Annexes,JHS with SHS,51,52,71,62,46,56,60,51,0,0,0,0,0,0,7,19,19,19,0,0,50,16,0,0,0,0,0,0,0,0,10,18,22,14,0,0,40,14,0,0,0,0,0,384,313,697
Region I,Ilocos Norte,Burgos,300006,Burgos Agro-Industrial School,"Brgy. Poblacion, Burgos, Ilocos Norte",ILOCOS NORTE,BURGOS,1st District,POBLACION,Public,DepED Managed,School with no Annexes,JHS with SHS,56,86,100,101,62,73,88,111,0,0,0,0,24,23,12,21,0,0,0,0,52,31,0,0,0,0,0,0,23,17,15,18,0,0,0,0,37,28,0,0,0,0,0,506,472,978
Region I,Ilocos Norte,Currimao,300013,Wilbur C. Go NHS,Mataan St.,ILOCOS NORTE,CURRIMAO,2nd District,POBLACION II,Public,DepED Managed,School with no Annexes,JHS with SHS,26,42,23,37,28,26,24,38,0,0,5,26,12,12,0,0,0,0,0,0,28,0,0,0,0,0,3,5,13,10,0,0,0,0,0,0,14,4,0,0,0,0,0,203,173,376
Region I,Ilocos Norte,Currimao,320805,Currimao NHS,"National Highway, Pias Norte, Currimao, Ilocos Norte",ILOCOS NORTE,CURRIMAO,2nd District,PIAS NORTE,Public,DepED Managed,School with no Annexes,JHS with SHS,51,67,65,77,48,58,67,69,0,0,7,3,30,36,7,14,0,0,0,0,12,4,0,0,0,0,0,15,42,23,5,16,0,0,0,0,10,10,0,0,0,0,0,373,363,736
Region I,Ilocos Norte,Dingras I,320806,Barong National High School,Sitio 6,ILOCOS NORTE,DINGRAS,2nd District,BARONG,Public,DepED Managed,School with no Annexes,JHS with SHS,32,40,29,49,21,27,29,28,0,0,0,0,0,0,0,0,15,19,0,0,26,4,0,0,0,0,0,0,0,0,0,0,14,12,0,0,8,3,0,0,0,0,0,213,143,356
Region I,Ilocos Norte,Dingras I,320807,San Marcelino National High School,"Sitio Sta. Clara, San Marcelino, Dingras, Ilocos Norte",ILOCOS NORTE,DINGRAS,2nd District,SAN MARCELINO (PADONG),Public,DepED Managed,School with no Annexes,JHS with SHS,47,70,68,84,43,66,57,84,0,0,0,0,0,0,11,19,31,31,0,0,27,18,0,0,0,0,0,0,0,0,20,23,13,29,0,0,29,6,0,0,0,0,0,400,376,776
Region I,Ilocos Norte,Dingras I,320808,Bamasesamar National High School,Sittio Bakir,ILOCOS NORTE,DINGRAS,2nd District,SAN ESTEBAN,Public,DepED Managed,School with no Annexes,JHS with SHS,20,15,19,16,16,20,18,16,0,0,0,0,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,11,0,0,0,0,0,0,0,0,0,104,91,195
Region I,Ilocos Norte,Dingras I,320809,Lt. Edgar Foz National High School,-,ILOCOS NORTE,DINGRAS,2nd District,SULQUIANO (SIDIRAN),Public,DepED Managed,School with no Annexes,JHS with SHS,12,12,9,15,11,9,14,9,0,0,0,0,0,0,0,0,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,0,0,0,0,0,0,0,0,0,84,59,143
Region I,Ilocos Norte,Dingras I,320810,SUYO NATIONAL HIGH SCHOOL,Dona Josefa Road-Ilocos Norte-Kalinga Road,ILOCOS NORTE,DINGRAS,2nd District,SUYO,Public,DepED Managed,School with no Annexes,JHS with SHS,28,31,29,27,10,26,22,28,0,0,0,0,4,10,0,0,10,8,0,0,13,3,0,0,0,0,0,0,0,0,0,0,12,12,0,0,17,9,0,0,0,0,0,171,128,299
Region I,Ilocos Norte,Dingras II,300015,Dingras NHS,"-ROOT, Madamba, Dingras, Ilocos Norte",ILOCOS NORTE,DINGRAS,2nd District,MADAMBA (POB.),Public,DepED Managed,School with no Annexes,JHS with SHS,118,124,142,155,97,127,130,155,0,0,24,36,68,44,15,38,0,0,0,0,67,43,0,0,0,0,28,24,78,57,16,25,0,0,0,0,38,27,0,0,0,0,0,873,803,1676
Region I,Ilocos Norte,Dingras II,400012,"St. Joseph Institute of Dingras, Inc.","Brgy. Madamba, Dingras, Ilocos Norte",ILOCOS NORTE,DINGRAS,2nd District,MADAMBA (POB.),Private,Non-Sectarian ,School with no Annexes,JHS with SHS,15,7,14,14,12,7,8,11,0,0,0,0,9,4,8,3,0,0,0,0,1,2,0,0,0,0,0,0,4,4,0,0,7,6,0,0,9,2,0,0,0,0,0,88,59,147
Region I,Ilocos Norte,Marcos-Nueva Era,300020,Marcos NHS,Barangay Lydia,ILOCOS NORTE,MARCOS,2nd District,LYDIA (POB.),Public,DepED Managed,School with no Annexes,JHS with SHS,95,117,136,152,91,107,107,140,0,0,4,22,70,41,6,31,0,0,0,0,75,45,0,0,0,0,7,16,51,45,16,31,0,0,0,0,49,39,0,0,0,0,0,778,715,1493
Region I,Ilocos Norte,Marcos-Nueva Era,300022,NUEVA ERA NATIONAL HIGH SCHOOL,POBLACION #1,ILOCOS NORTE,NUEVA ERA,2nd District,POBLACION,Public,DepED Managed,School with no Annexes,JHS with SHS,36,38,39,48,28,60,58,44,0,0,0,0,0,0,23,19,13,16,0,0,13,31,0,0,0,0,0,0,0,0,6,12,32,28,0,0,26,23,0,0,0,0,0,274,319,593
Region I,Ilocos Norte,Marcos-Nueva Era,320811,Agunit National High School,Municipal Rd.,ILOCOS NORTE,MARCOS,2nd District,PACIFICO (AGUNIT),Public,DepED Managed,School with no Annexes,JHS with SHS,24,19,21,28,24,19,20,32,0,0,0,0,0,0,5,13,19,6,0,0,0,0,0,0,0,0,0,0,0,0,1,14,20,13,0,0,0,0,0,0,0,0,0,137,141,278
Region I,Ilocos Norte,Marcos-Nueva Era,320812,Santiago NHS,Along Brgy. Santiago Provincial Road,ILOCOS NORTE,MARCOS,2nd District,SANTIAGO,Public,DepED Managed,School with no Annexes,JHS with SHS,28,27,27,31,20,25,22,31,0,0,0,0,0,0,6,11,0,0,0,0,22,26,0,0,0,0,0,0,0,0,6,11,0,0,0,0,24,10,0,0,0,0,0,171,156,327
Region I,Ilocos Norte,Marcos-Nueva Era,320820,Adriano P. Arzadon NHS,"Cabittauran, Ilocos Norte",ILOCOS NORTE,NUEVA ERA,2nd District,CABITTAURAN,Public,DepED Managed,School with no Annexes,JHS with SHS,14,16,20,15,23,15,24,24,0,0,0,0,9,8,4,9,4,7,0,0,0,0,0,0,0,0,0,0,8,7,0,0,13,12,0,0,0,0,0,0,0,0,0,103,129,232
Region I,Ilocos Norte,Adams-Pagudpud,300001,Adams National High School,"Baraoabao St., Poblacion, Adams, Ilocos Norte",ILOCOS NORTE,ADAMS,1st District,ADAMS (POB.),Public,DepED Managed,School with no Annexes,JHS with SHS,29,15,23,23,17,19,18,24,0,0,0,0,14,10,0,0,4,32,0,0,0,0,0,0,0,0,0,0,9,6,0,0,14,7,0,0,0,0,0,0,0,0,0,131,133,264
Region I,Ilocos Norte,Adams-Pagudpud,300019,Luzong NHS,"Purok Rangpaya, Baduang, Pagudpud, Ilocos Norte",ILOCOS NORTE,PAGUDPUD,1st District,BADUANG,Public,DepED Managed,School with no Annexes,JHS with SHS,42,65,100,96,51,78,79,67,0,0,8,12,28,28,11,18,0,0,0,0,50,36,0,0,0,0,4,9,24,18,12,19,0,0,0,0,38,23,0,0,0,0,0,478,438,916
Region I,Ilocos Norte,Adams-Pagudpud,300024,PAGUDPUD NHS,"Brgy. Poblacion 2, Pagudpud, Ilocos Norte",ILOCOS NORTE,PAGUDPUD,1st District,POBLACION  2,Public,DepED Managed,Mother school,JHS with SHS,59,64,76,76,56,63,73,73,0,0,0,0,9,7,8,9,34,8,0,0,14,43,0,0,0,0,0,0,7,8,6,19,14,6,0,0,38,37,0,0,0,0,0,405,402,807
Region I,Ilocos Norte,Adams-Pagudpud,300026,Pasaleng National High School,"Pasaleng, Pagudpud,Ilocos Norte",ILOCOS NORTE,PAGUDPUD,1st District,PASALENG,Public,DepED Managed,School with no Annexes,JHS with SHS,26,50,38,37,32,32,30,39,0,0,0,0,0,0,7,5,0,0,0,0,29,20,0,0,0,0,0,0,0,0,3,7,0,0,0,0,42,23,0,0,0,0,0,232,188,420
Region I,Ilocos Norte,Adams-Pagudpud,400015,St. Jude High School of Pagudpud Ilocos Norte Inc,"PROVINCIAL RD., BRGY. POBLACION, PAGUDPUD, ILOCOS NORTE",ILOCOS NORTE,PAGUDPUD,1st District,POBLACION  2,Private,Sectarian ,School with no Annexes,JHS with SHS,13,17,13,26,10,19,24,11,0,0,0,0,0,0,18,4,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,13,0,0,0,0,0,0,0,0,0,103,97,200
Region I,Ilocos Norte,Paoay,300025,Paoay Lake NHS,"Brgy. 22 Nagbacalan, Paoay, Ilocos Norte",ILOCOS NORTE,PAOAY,2nd District,NAGBACALAN,Public,DepED Managed,School with no Annexes,JHS with SHS,29,39,44,30,28,42,38,40,0,0,0,0,0,0,16,20,0,0,0,0,40,12,0,0,0,0,0,0,0,0,8,14,0,0,0,0,23,18,0,0,0,0,0,229,212,441
Region I,Ilocos Norte,Paoay,320814,Paoay National High School,"Brgy. 20 Paratong, Paoay, Ilocos Norte",ILOCOS NORTE,PAOAY,2nd District,PARATONG,Public,DepED Managed,School with no Annexes,JHS with SHS,75,102,118,124,82,125,123,136,0,0,21,28,0,0,34,46,0,0,0,0,42,17,0,0,0,0,27,37,0,0,38,44,0,0,0,0,58,27,0,0,0,0,0,639,665,1304
Region I,Ilocos Norte,Paoay,400016,Paoay North Institute,"Brgy. 11 Cabangaran, Paoay, I. N.",ILOCOS NORTE,PAOAY,2nd District,CABANGARAN,Private,Non-Sectarian ,School with no Annexes,JHS with SHS,11,27,17,24,8,16,9,10,0,0,0,0,0,0,0,0,20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,23,0,0,0,0,0,0,0,0,0,120,82,202
Region I,Ilocos Norte,Pasuquin,300014,Davila National High School,"Davila, Pasuquin, Ilocos Norte",ILOCOS NORTE,PASUQUIN,1st District,DAVILA,Public,DepED Managed,School with no Annexes,JHS with SHS,34,45,47,53,37,46,50,44,0,0,0,0,0,0,7,10,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,36,0,0,0,0,0,0,0,0,0,280,267,547
Region I,Ilocos Norte,Pasuquin,300018,Ilocos Norte Agricultural College,"San Isidro, Batuli, Pasuquin, Ilocos Norte",ILOCOS NORTE,PASUQUIN,1st District,BATULI,Public,DepED Managed,School with no Annexes,JHS with SHS,115,144,139,159,105,133,132,133,0,0,0,22,13,19,26,34,0,0,0,0,137,80,0,0,0,0,4,20,30,46,19,35,0,0,0,0,113,58,0,0,0,0,0,899,817,1716
Region I,Ilocos Norte,Pasuquin,400017,"Pasuquin High School of Ilocos Norte,Inc.",Tandang Sora St. Brgy.3 Pasuquin Ilocos Norte,ILOCOS NORTE,PASUQUIN,1st District,POBLACION 3,Private,Non-Sectarian ,School with no Annexes,JHS with SHS,12,16,15,16,20,11,12,17,0,0,0,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12,0,0,0,0,0,0,0,0,0,85,83,168
Region I,Ilocos Norte,Piddig,300009,Carasi NHS,"Cawada St. Brgy. Barbaquezo, Carasi, Ilocos Norte",ILOCOS NORTE,CARASI,1st District,BARBAQUESO (POB.),Public,DepED Managed,School with no Annexes,JHS with SHS,8,13,16,10,6,10,9,16,0,0,0,0,0,0,0,0,0,0,0,0,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,67,51,118
Region I,Ilocos Norte,Piddig,300016,Piddig National High School,"#6 TONOTON, PIDDIG, ILOCOS NORTE",ILOCOS NORTE,PIDDIG,1st District,TONOTON,Public,DepED Managed,School with no Annexes,JHS with SHS,90,121,104,111,88,113,108,106,0,0,5,15,30,13,16,28,19,15,0,0,87,61,0,0,0,0,2,11,17,32,15,26,41,21,0,0,65,23,0,0,0,0,0,723,660,1383
Region I,Ilocos Norte,Piddig,400019,Roosevelt High School of Piddig Inc.,Caridad St.,ILOCOS NORTE,PIDDIG,1st District,LOING (POB.),Private,Non-Sectarian ,School with no Annexes,JHS with SHS,6,16,17,18,6,5,18,19,0,0,1,4,0,0,0,0,24,10,0,0,0,0,0,0,0,0,3,5,0,0,0,0,18,12,0,0,0,0,0,0,0,0,0,103,79,182
Region I,Ilocos Norte,Piddig,400020,"Saint Anne Academy of Piddig, Ilocos Norte, Inc.","1, Cabaroan, Misericordia St., Piddig, Ilocos Norte",ILOCOS NORTE,PIDDIG,1st District,CABAROAN (POB.),Private,Sectarian ,School with no Annexes,JHS with SHS,35,36,35,33,29,38,26,55,0,0,3,2,9,15,0,0,34,17,0,0,0,0,0,0,0,0,3,21,15,10,0,0,30,16,0,0,0,0,0,0,0,0,0,233,229,462
Region I,Ilocos Norte,Pinili,300027,Pinili NHS,"Brgy. 11 Darat, Pinili, Ilocos Norte",ILOCOS NORTE,PINILI,2nd District,DARAT,Public,DepED Managed,School with no Annexes,JHS with SHS,81,81,127,129,99,107,109,115,0,0,3,22,44,46,9,31,0,0,0,0,52,29,0,0,0,0,9,23,38,26,21,31,27,27,0,0,55,28,0,0,0,0,0,676,693,1369
Region I,Ilocos Norte,Pinili,400021,Pinili Institute,"Brgy. 1, Valbuena, Pinili, Ilocos Norte",ILOCOS NORTE,PINILI,2nd District,VALBUENA (POB.),Private,Non-Sectarian ,School with no Annexes,JHS with SHS,25,27,34,26,22,27,21,29,0,0,0,0,0,0,0,0,9,11,0,0,25,12,0,0,0,0,0,0,0,0,0,0,13,12,0,0,14,5,0,0,0,0,0,173,139,312
Region I,Ilocos Norte,San Nicolas,300028,San Nicolas NHS,"-San Jose Ave., San Nicolas, Ilocos Norte",ILOCOS NORTE,SAN NICOLAS,2nd District,SANTA MONICA (NAGREBCAN),Public,DepED Managed,School with no Annexes,JHS with SHS,147,206,192,238,155,226,216,236,0,0,23,50,101,69,56,51,0,0,0,0,74,30,0,0,0,0,28,31,93,87,39,50,0,0,0,0,65,27,0,0,2,3,0,1264,1231,2495
Region I,Ilocos Norte,San Nicolas,320815,Bingao National High School,"Brgy. 18 San Pedro, San Nicolas",ILOCOS NORTE,SAN NICOLAS,2nd District,SAN PEDRO (BINGAO),Public,DepED Managed,School with no Annexes,JHS with SHS,55,84,88,95,46,76,92,88,0,0,0,0,31,34,0,0,25,34,0,0,34,33,0,0,0,0,0,0,58,33,0,0,15,30,0,0,44,27,0,0,0,0,0,529,493,1022
Region I,Ilocos Norte,Sarrat,300029,Sarrat National High School,"Magsaysay St., SAN FRANCISCO (POB.)",ILOCOS NORTE,SARRAT,1st District,SAN FRANCISCO (POB.),Public,DepED Managed,School with no Annexes,JHS with SHS,96,109,130,137,92,113,122,138,0,0,15,19,57,45,25,39,0,0,0,0,41,23,0,0,0,0,8,11,48,43,19,38,13,12,0,0,51,44,0,0,0,0,0,749,739,1488
Region I,Ilocos Norte,Sarrat,320816,STA. ROSA NATIONAL HIGH SCHOOL,Dingras Road,ILOCOS NORTE,SARRAT,1st District,SAN NICOLAS,Public,DepED Managed,School with no Annexes,JHS with SHS,53,73,71,92,59,62,74,86,0,0,1,15,29,26,15,42,0,0,0,0,45,17,0,0,0,0,2,22,42,24,17,25,0,0,0,0,27,10,0,0,0,0,0,467,462,929
Region I,Ilocos Norte,Solsona,300030,Solsona National High School,10,ILOCOS NORTE,SOLSONA,2nd District,MANALPAC,Public,DepED Managed,School with no Annexes,JHS with SHS,87,108,123,108,75,112,123,119,0,0,8,26,57,39,18,39,0,0,0,0,35,24,0,0,0,0,8,29,63,53,20,23,0,0,0,0,18,19,0,0,0,0,0,653,681,1334
Region I,Ilocos Norte,Solsona,320817,Bagbag Solsona National High School,"19, Bagbag, Solsona, Ilocos Norte",ILOCOS NORTE,SOLSONA,2nd District,BAGBAG,Public,DepED Managed,School with no Annexes,JHS with SHS,46,59,60,94,50,50,62,90,0,0,2,20,54,22,14,16,0,0,0,0,25,5,0,0,0,0,1,22,52,24,8,13,0,0,0,0,18,10,0,0,0,0,0,433,384,817
Region I,Ilocos Norte,Solsona,320818,Talugtog Solsona National High School,"Brgy. Talugtog, Solsona, Ilocos Norte",ILOCOS NORTE,SOLSONA,2nd District,TALUGTOG,Public,DepED Managed,School with no Annexes,JHS with SHS,34,28,34,30,25,27,32,31,0,0,0,0,0,0,13,13,15,9,0,0,7,1,0,0,0,0,0,0,0,0,4,5,16,17,0,0,14,9,0,0,0,0,0,195,169,364
Region I,Ilocos Norte,Solsona,400023,"Gov. Roque B. Ablan Sr. Mem. Academy, Inc.","Brgy. Juan, Solsona, Ilocos Norte",ILOCOS NORTE,SOLSONA,2nd District,JUAN (POB.),Private,Sectarian ,School with no Annexes,JHS with SHS,28,33,58,44,35,35,33,37,0,0,6,16,33,14,9,5,0,0,0,0,0,0,0,0,0,0,1,4,33,14,3,15,0,0,0,0,0,0,0,0,0,0,0,248,208,456
Region I,Ilocos Norte,Vintar I,300031,VINTAR NHS,BRGY. 25 TAMDAGAN,ILOCOS NORTE,VINTAR,1st District,TAMDAGAN,Public,DepED Managed,School with no Annexes,JHS with SHS,31,32,29,32,22,28,31,31,0,0,0,0,0,0,8,7,26,33,0,0,0,0,0,0,0,0,0,0,0,0,13,10,19,17,0,0,0,0,0,0,0,0,0,190,179,369
Region I,Ilocos Norte,Vintar I,320821,ISIC-ISIC NATIONAL HIGH SCHOOL,"Bgy. #34 Isic-Isic,Sitio Tanap, Vintar, Ilocos Norte 2915 Philippines",ILOCOS NORTE,VINTAR,1st District,ISIC ISIC,Public,DepED Managed,School with no Annexes,JHS with SHS,7,16,9,12,11,17,18,11,0,0,0,0,0,0,0,0,21,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,14,0,0,0,0,0,0,0,0,0,80,86,166
Region I,Ilocos Norte,Vintar I,400025,"Saint Nicholas Academy of Vintar, Inc.","J.P. Rizal St., San Nicolas, Vintar, Ilocos Norte",ILOCOS NORTE,VINTAR,1st District,SAN NICOLAS (POB.),Private,Sectarian ,School with no Annexes,JHS with SHS,2,12,6,5,6,5,14,2,0,0,0,0,4,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,5,0,0,0,0,0,0,0,0,0,0,0,36,43,79
Region I,Ilocos Sur,Alilem-Sugpon,300033,Alilem National High School,Brown St.,ILOCOS SUR,ALILEM,2nd District,ALILEM DAYA (POB.),Public,DepED Managed,School with no Annexes,JHS with SHS,37,53,52,55,43,38,57,47,0,0,0,0,0,0,0,0,23,26,0,0,24,16,0,0,0,0,0,0,0,0,0,0,24,32,0,0,13,5,0,0,0,0,0,281,264,545
Region I,Ilocos Sur,Alilem-Sugpon,300036,Sugpon National High School,"Poblacion, Sugpon, Ilocos Sur",ILOCOS SUR,SUGPON,2nd District,BALBALAYANG (POB.),Public,DepED Managed,School with no Annexes,JHS with SHS,24,24,26,21,16,28,22,28,0,0,0,0,13,9,0,0,0,0,0,0,12,8,0,0,0,0,0,0,20,18,0,0,0,0,0,0,0,0,0,0,0,0,0,140,129,269
Region I,Ilocos Sur,Alilem-Sugpon,400044,"Santa High School,Inc.","QUIRINO DISTRICT, SANTA, ILOCOS SUR",ILOCOS SUR,SANTA,2nd District,QUIRINO (POB.),Private,Non-Sectarian ,School with no Annexes,JHS with SHS,9,16,6,7,17,10,14,14,0,0,0,0,11,7,9,1,8,18,0,0,7,0,0,0,0,0,0,0,6,6,3,4,19,18,0,0,5,0,0,0,0,0,0,106,109,215
Region I,Ilocos Sur,Alilem-Sugpon,400054,Santiago Institute,CALIP,ILOCOS SUR,SANTIAGO,2nd District,POBLACION NORTE,Private,Sectarian ,School with no Annexes,JHS with SHS,12,12,18,22,11,11,16,22,0,0,0,0,0,0,0,0,4,12,0,0,10,7,0,0,0,0,0,0,0,0,0,0,10,8,0,0,15,8,0,0,0,0,0,103,95,198
