region,division,district,beis_school_id,school_name,street_address,province,municipality,legislative_district,barangay,sector,school_subclassification,school_type,modified_coc,k_male,k_female,g1_male,g2_male,g3_male,g4_male,g5_male,g6_male,g1_female,g2_female,g3_female,g4_female,g5_female,g6_female,elem_ng_male,elem_ng_female,g7_male,g8_male,g9_male,g10_male,g7_female,g8_female,g9_female,g10_female,jhs_ng_male,jhs_ng_female,g11_acad_-_abm_male,g11_acad_-_abm_female,g11_acad_-_humss_male,g11_acad_-_humss_female,g11_acad_stem_male,g11_acad_stem_female,g11_acad_gas_male,g11_acad_gas_female,g11_acad_pbm_male,g11_acad_pbm_female,g11_tvl_male,g11_tvl_female,g11_sports_male,g11_sports_female,g11_arts_male,g11_arts_female,g12_acad_-_abm_male,g12_acad_-_abm_female,g12_acad_-_humss_male,g12_acad_-_humss_female,g12_acad_stem_male,g12_acad_stem_female,g12_acad_gas_male,g12_acad_gas_female,g12_acad_pbm_male,g12_acad_pbm_female,g12_tvl_male,g12_tvl_female,g12_sports_male,g12_sports_female,g12_arts_male,g12_arts_female,total_non_graded_enrollment,total_male_enrollment,total_female_enrollment,total_enrollment
Region VII,Tagbilaran City,Tagbilaran City,404269,"BIT - International College Tagbilaran, Inc.",200 Gallares Street Tagbilaran City,BOHOL,TAGBILARAN CITY (Capital),1st District,POBLACION II,Private,Non-Sectarian ,School with no Annexes,All Offering,0,0,3,1,2,2,4,8,3,4,3,4,2,7,0,0,32,16,22,39,24,26,24,37,0,0,9,20,31,38,22,32,60,38,0,0,62,26,0,0,0,0,5,29,16,22,14,32,51,44,0,0,25,13,0,0,0,0,0,424,428,852
Region VII,Tagbilaran City,Tagbilaran City,404270,Bohol Wisdom School,"CPG NORTH AVENUE TAGBILARAN CITY, BOHOL",BOHOL,TAGBILARAN CITY (Capital),1st District,COGON,Private,Non-Sectarian ,School with no Annexes,All Offering,68,60,59,73,51,58,51,74,59,67,58,51,76,56,0,0,77,64,69,58,79,86,57,71,0,0,9,6,5,12,68,84,0,0,0,0,0,0,0,0,0,0,9,18,7,14,71,82,0,0,0,0,0,0,0,0,0,0,0,871,936,1807
Region VII,Tagbilaran City,Tagbilaran City,404272,Tagbilaran Grace Christian School,"Arport Side, Booy District, Tagbilaran City, Bohol",BOHOL,TAGBILARAN CITY (Capital),1st District,BOOY,Private,Sectarian ,School with no Annexes,All Offering,9,8,6,8,8,8,4,5,9,7,6,5,8,5,0,0,3,12,7,8,4,5,5,4,0,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,82,77,159
Region VII,Tagbilaran City,Tagbilaran City,404273,Holy Name University (for. Divine Word College),"Janssen Heights, Dampas Dist.",BOHOL,TAGBILARAN CITY (Capital),1st District,DAMPAS,Private,Sectarian ,School with no Annexes,All Offering,29,18,26,26,28,34,28,51,27,19,27,24,24,44,6,1,75,97,65,90,77,110,83,117,5,0,29,28,19,31,134,178,0,0,0,0,0,0,0,0,0,0,13,43,29,25,119,193,0,0,0,0,0,0,0,0,0,0,12,903,1069,1972
Region VII,Tagbilaran City,Tagbilaran City,404274,Holy Spirit School of Tagbilaran,"J.A. Clarin St. Purok 3 Dao District, Tagbilaran City",BOHOL,TAGBILARAN CITY (Capital),1st District,POBLACION II,Private,Sectarian ,School with no Annexes,All Offering,11,16,18,11,24,24,19,25,18,18,21,22,30,23,0,0,32,43,34,38,31,33,60,53,0,0,0,0,5,9,24,30,0,0,0,0,0,0,0,0,0,0,0,0,7,19,47,44,0,0,0,0,0,0,0,0,0,0,0,362,427,789
Region VII,Tagbilaran City,Tagbilaran City,404277,Royal Christian School,"San Isidro District, Tagbilaran City, Bohol",BOHOL,TAGBILARAN CITY (Capital),1st District,SAN ISIDRO,Private,Non-Sectarian ,School with no Annexes,All Offering,7,5,3,5,7,7,7,6,3,5,6,5,3,4,0,0,2,6,1,5,4,4,7,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,50,107
Region VII,Tagbilaran City,Tagbilaran City,404280,University of Bohol,Dr. Cecilio Putong,BOHOL,TAGBILARAN CITY (Capital),1st District,POBLACION II,Private,Non-Sectarian ,School with no Annexes,All Offering,13,9,10,16,10,13,15,17,11,10,16,10,6,16,0,0,37,46,65,59,49,40,52,58,0,0,0,0,19,20,68,82,74,74,0,0,0,0,0,0,0,0,0,0,9,23,45,118,84,94,0,0,0,0,0,0,0,0,0,600,688,1288
Region VII,Tagbilaran City,Tagbilaran City,404281,UNIVERSITY OF BOHOL-VICTORIANO D. TIROL ADVANCED LEARNING CENTER,Penaflor Street,BOHOL,TAGBILARAN CITY (Capital),1st District,TALOTO,Private,Non-Sectarian ,School with no Annexes,All Offering,21,21,23,20,28,19,23,20,23,16,21,20,31,27,0,0,34,25,17,30,27,17,14,29,0,0,2,5,2,2,23,17,0,0,0,0,0,0,0,0,0,0,1,4,3,4,20,17,1,0,0,0,0,0,0,0,0,0,0,312,295,607
Region VII,Tagbilaran City,Tagbilaran City,492001,Holy Infant School of Tagbilaran,#9 TOMAS CLOMA AVENUE,BOHOL,TAGBILARAN CITY (Capital),1st District,BOOY,Private,Non-Sectarian ,School with no Annexes,All Offering,3,4,3,4,4,3,5,4,4,5,3,2,2,5,0,0,10,10,12,14,13,12,10,14,0,0,0,0,0,0,0,0,31,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,18,0,0,0,0,0,0,0,0,0,131,118,249
Region VII,Tagbilaran City,Tagbilaran City,492018,"Schola Societas, Inc.","Tiptip District, Tagbilaran City",BOHOL,TAGBILARAN CITY (Capital),1st District,TIPTIP,Private,Sectarian ,School with no Annexes,All Offering,7,6,4,6,4,5,3,2,2,2,3,1,3,0,0,0,5,2,6,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,24,72
Region VII,Talisay City,Talisay City I,404409,Saint Teresa School of Talisay Inc.,"Poblacion, Talisay City, Cebu",CEBU,CITY OF TALISAY,1st District,POBLACION,Private,Sectarian ,School with no Annexes,All Offering,16,19,13,10,16,15,17,8,18,8,21,9,9,7,0,0,17,9,10,14,16,13,14,17,0,0,0,6,0,2,7,7,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,0,0,0,0,0,0,0,0,158,174,332
Region VII,Talisay City,Talisay City I,404414,"Talisay Malayan Academy, Inc.","Lopez Jaena St., Poblacion, City of Talisay, Cebu",CEBU,CITY OF TALISAY,1st District,POBLACION,Private,Non-Sectarian ,School with no Annexes,All Offering,7,7,18,17,16,10,14,10,21,10,14,12,9,14,0,0,27,22,17,14,16,13,24,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,179,153,332
Region VII,Talisay City,Talisay City I,492506,Royal Colleges of Science and Management Inc.,"Z5 1669-1670 Bascon St. , Dumlog, City of Talisay, Cebu",CEBU,CITY OF TALISAY,1st District,DUMLOG,Private,Non-Sectarian ,School with no Annexes,All Offering,21,17,19,13,11,13,13,11,18,15,16,14,8,9,0,0,9,15,1,16,14,9,5,6,0,0,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,5,0,0,8,2,0,0,0,0,0,0,0,0,0,161,147,308
