region,division,district,beis_school_id,school_name,street_address,province,municipality,legislative_district,barangay,sector,school_subclassification,school_type,modified_coc,k_male,k_female,g1_male,g2_male,g3_male,g4_male,g5_male,g6_male,g1_female,g2_female,g3_female,g4_female,g5_female,g6_female,elem_ng_male,elem_ng_female,g7_male,g8_male,g9_male,g10_male,g7_female,g8_female,g9_female,g10_female,jhs_ng_male,jhs_ng_female,g11_acad_-_abm_male,g11_acad_-_abm_female,g11_acad_-_humss_male,g11_acad_-_humss_female,g11_acad_stem_male,g11_acad_stem_female,g11_acad_gas_male,g11_acad_gas_female,g11_acad_pbm_male,g11_acad_pbm_female,g11_tvl_male,g11_tvl_female,g11_sports_male,g11_sports_female,g11_arts_male,g11_arts_female,g12_acad_-_abm_male,g12_acad_-_abm_female,g12_acad_-_humss_male,g12_acad_-_humss_female,g12_acad_stem_male,g12_acad_stem_female,g12_acad_gas_male,g12_acad_gas_female,g12_acad_pbm_male,g12_acad_pbm_female,g12_tvl_male,g12_tvl_female,g12_sports_male,g12_sports_female,g12_arts_male,g12_arts_female,total_non_graded_enrollment,total_male_enrollment,total_female_enrollment,total_enrollment
Region I,Ilocos Norte,Badoc,400003,"IGAMA Colleges Foundation, Inc.","Brgy. Garreta, Badoc, Ilocos Norte",ILOCOS NORTE,BADOC,2nd District,GARRETA (POB.),Private,Non-Sectarian ,School with no Annexes,All Offering,6,8,5,1,7,3,8,5,6,7,5,3,10,4,0,0,14,34,25,32,13,26,27,31,0,0,1,1,2,6,16,16,0,0,0,0,3,2,0,0,0,0,0,6,18,4,12,16,0,0,0,0,14,3,0,0,0,0,0,206,194,400
Region I,Ilocos Norte,Badoc,500000,Caraitan Integrated School,"Caraitan, Badoc, Ilocos Norte",ILOCOS NORTE,BADOC,2nd District,CARAITAN,Public,DepED Managed,School with no Annexes,All Offering,20,17,20,21,15,18,24,21,9,17,16,16,16,19,0,0,41,53,61,49,44,53,43,56,0,0,0,0,21,14,11,12,30,22,0,0,0,0,0,0,0,0,0,0,19,8,2,9,22,8,0,0,0,0,0,0,0,0,0,448,379,827
Region I,Ilocos Norte,Marcos-Nueva Era,500594,Uguis Integrated School,"Brgy. 9 Nueva Era, Ilocos Norte",ILOCOS NORTE,NUEVA ERA,2nd District,UGUIS,Public,DepED Managed,School with no Annexes,All Offering,10,8,12,14,8,4,16,16,6,6,11,9,13,14,0,0,16,19,19,11,20,15,20,15,0,0,0,0,0,0,0,0,19,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,0,0,0,0,0,0,0,0,0,179,161,340
Region I,Ilocos Norte,Paoay,500345,Malaguip Integrated School,"Masintoc, Paoay, Ilocos Norte",ILOCOS NORTE,PAOAY,2nd District,MASINTOC,Public,DepED Managed,School with no Annexes,All Offering,15,19,32,13,22,18,32,23,18,27,20,18,32,27,0,0,24,25,22,26,14,20,27,19,0,0,0,0,0,0,0,0,11,14,0,0,13,3,0,0,0,0,0,0,0,0,0,0,7,26,0,0,20,0,0,0,0,0,0,303,284,587
Region I,Ilocos Norte,Pasuquin,400018,"St. James Academy of PasuquinIlocos Norte, Inc.","#2 Maharlika Hiway Poblacion, Pasuquin",ILOCOS NORTE,PASUQUIN,1st District,POBLACION 2,Private,Sectarian ,School with no Annexes,All Offering,4,2,12,10,11,8,7,18,10,4,10,6,7,8,0,0,7,16,14,20,19,15,16,19,0,0,0,3,7,3,0,0,0,0,0,0,1,2,0,0,0,0,0,3,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,143,132,275
Region I,Ilocos Norte,Pinili,500593,Sacritan Integrated School,"Brgy. Balbalay, Sacritan, Pinili Ilocos Norte",ILOCOS NORTE,PINILI,2nd District,SACRITAN,Public,DepED Managed,School with no Annexes,All Offering,5,6,12,6,10,7,19,14,8,14,16,4,16,15,0,0,10,16,18,15,22,10,28,10,0,0,0,0,0,0,0,0,18,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,0,0,0,0,0,0,0,0,0,167,173,340
Region I,Ilocos Norte,San Nicolas,400022,"Sta. Rosa Academy of San Nicolas Ilocos Norte, Inc.","National Road Brgy.3 San Ildefonso San Nicolas,Ilocos Norte",ILOCOS NORTE,SAN NICOLAS,2nd District,SAN ILDEFONSO (POB.),Private,Sectarian ,School with no Annexes,All Offering,1,0,1,0,4,2,5,6,1,4,4,2,7,4,0,0,7,11,9,4,5,11,5,11,0,0,0,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,68,66,134
Region I,Ilocos Norte,Sarrat,500592,Pandan Integrated School,San Juan,ILOCOS NORTE,SARRAT,1st District,SAN JUAN,Public,DepED Managed,School with no Annexes,All Offering,10,6,15,10,12,12,14,8,12,4,11,7,7,11,0,0,9,23,15,22,11,7,9,14,0,0,0,0,0,0,0,0,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,0,0,0,0,0,0,0,0,0,179,128,307
Region I,Ilocos Norte,Vintar I,500343,Pallas Integrated School,Bulbulala,ILOCOS NORTE,VINTAR,1st District,BULBULALA,Public,DepED Managed,School with no Annexes,All Offering,10,10,11,17,13,16,18,21,5,9,14,5,15,13,0,0,24,35,37,51,33,23,36,30,0,0,0,0,6,14,0,0,0,0,0,0,22,4,0,0,0,0,0,0,17,14,0,0,0,0,0,0,12,4,0,0,0,0,0,310,229,539
Region I,Ilocos Norte,Vintar II,500344,SALPAD INTEGRATED SCHOOL,Brgy.17 P.F. Alviar Vintar,ILOCOS NORTE,VINTAR,1st District,PEDRO F. ALVIAR (DIATON),Public,DepED Managed,School with no Annexes,All Offering,8,11,4,3,7,10,4,6,6,8,4,6,8,7,0,0,12,24,17,25,10,16,12,21,0,0,0,0,0,0,0,0,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,152,122,274
Region I,Ilocos Norte,Vintar II,500591,Florentino Camaquin Integrated School,1909 St.,ILOCOS NORTE,VINTAR,1st District,SANTA MARIA (POB.),Public,DepED Managed,School with no Annexes,All Offering,27,19,36,24,26,34,38,44,31,30,27,25,35,34,31,15,72,87,90,99,54,76,69,70,0,0,0,0,25,27,23,23,0,0,0,0,65,42,0,0,0,0,0,0,21,36,13,26,0,0,0,0,62,58,0,0,0,0,46,817,697,1514
Region I,Ilocos Sur,Banayoyo-Lidlidda-San Emilio,500598,Kalumsing Integrated School,"Kalumsing, San Emilio, Ilocos Sur",ILOCOS SUR,SAN EMILIO,2nd District,KALUMSING,Public,DepED Managed,School with no Annexes,All Offering,4,1,4,5,6,5,7,6,4,7,12,4,9,4,0,0,10,7,11,11,8,8,14,10,0,0,0,0,0,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,89,92,181
Region I,Ilocos Sur,Bantay,400027,"St. Paul College of Ilocos Sur, Inc.",St. Paul Avenue,ILOCOS SUR,BANTAY,1st District,BARANGAY 4 (POB.),Private,Sectarian ,School with no Annexes,All Offering,24,29,37,47,36,31,41,60,35,42,46,42,66,58,0,0,62,36,53,60,58,55,50,62,0,0,6,8,5,11,40,57,3,1,0,0,0,0,0,0,0,0,10,15,22,12,32,49,15,12,0,0,0,0,0,0,0,0,0,620,708,1328
Region I,Ilocos Sur,Bantay,410512,"Great Heights Learning Center of Ilocos Sur, Inc.","Govantes Dike, Zone V",ILOCOS SUR,BANTAY,1st District,BARANGAY 5 (POB.),Private,Sectarian ,School with no Annexes,All Offering,18,8,3,12,14,7,16,8,5,8,8,5,10,8,0,0,15,6,9,11,10,4,6,2,0,0,0,0,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,0,0,0,0,0,0,0,0,0,0,0,0,0,153,83,236
Region I,Ilocos Sur,Cervantes-Quirino,400032,"St. Agnes School, Inc.",000000,ILOCOS SUR,CERVANTES,2nd District,CONCEPCION (POB.),Private,Sectarian ,School with no Annexes,All Offering,2,2,5,8,9,9,7,4,9,5,8,5,6,9,0,0,34,26,37,29,22,31,27,34,0,0,0,0,10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,194,180,374
Region I,Ilocos Sur,Cervantes-Quirino,501578,Comillas North Integrated School,-n/a,ILOCOS SUR,CERVANTES,2nd District,COMILLAS NORTH,Public,DepED Managed,School with no Annexes,All Offering,12,8,17,18,8,17,16,16,10,10,16,12,16,9,0,0,36,28,25,33,18,27,15,25,0,0,0,0,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,13,0,0,0,0,0,0,0,0,0,0,0,0,0,270,188,458
Region I,Ilocos Sur,Magsingal,400037,"Saint  William's Institute, Inc.","Maharlika Highway, San Ramon, Magsingal, IlocosSur",ILOCOS SUR,MAGSINGAL,1st District,SAN RAMON (POB.),Private,Sectarian ,School with no Annexes,All Offering,2,2,6,4,3,6,7,10,8,10,8,8,5,8,0,0,13,12,16,15,20,18,21,19,0,0,0,0,6,4,3,6,5,10,0,0,5,4,0,0,0,0,1,0,7,1,3,4,10,5,0,0,1,0,0,0,0,0,0,135,161,296
Region I,Ilocos Sur,Narvacan North,500596,Lungog Integrated School,"Lungog, Narvacan, Ilocos Sur",ILOCOS SUR,NARVACAN,2nd District,LUNGOG,Public,DepED Managed,School with no Annexes,All Offering,18,21,12,15,21,10,23,16,13,14,13,9,18,20,0,0,32,41,33,34,20,34,29,27,0,0,0,0,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,11,0,0,0,0,0,0,0,0,0,0,0,0,0,298,247,545
Region I,Ilocos Sur,Narvacan South-Nagbukel,400039,"Narvacan Catholic School, Inc.",Sta. Lucia,ILOCOS SUR,NARVACAN,2nd District,SANTA LUCIA (POB.),Private,Sectarian ,School with no Annexes,All Offering,12,9,22,14,18,13,17,19,13,14,11,16,14,20,0,0,17,13,19,16,10,12,20,11,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,0,0,0,0,0,0,0,0,0,0,0,199,177,376
Region I,Ilocos Sur,Narvacan South-Nagbukel,410519,"Polytechnic Colleges of Region I, Inc.",OLD NATIONAL ROAD,ILOCOS SUR,NARVACAN,2nd District,SAN ANTONIO,Private,Non-Sectarian ,School with no Annexes,All Offering,1,0,2,3,5,1,1,2,0,3,2,0,0,1,0,0,0,0,0,0,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,26,26,52
Region I,Ilocos Sur,San Vicente,500348,San Vicente Integrated School,"Poblacion, San Vicente, Ilocos Sur",ILOCOS SUR,SAN VICENTE,1st District,POBLACION,Public,DepED Managed,School with no Annexes,All Offering,35,33,29,41,37,39,47,43,36,37,41,31,47,41,3,3,55,57,63,59,53,54,62,53,0,0,0,0,29,31,0,0,20,15,0,0,0,0,0,0,0,0,0,0,30,7,0,0,29,31,0,0,0,0,0,0,0,0,6,616,575,1191
Region I,Ilocos Sur,Santa,500346,Mabilbila Integrated School,"-Mabilbila Norte, Santa, ilocos sur",ILOCOS SUR,SANTA,2nd District,MABILBILA NORTE,Public,DepED Managed,School with no Annexes,All Offering,17,18,18,27,26,15,26,28,17,22,16,18,32,17,0,0,32,37,46,53,32,35,35,47,0,0,0,0,0,0,12,16,30,9,0,0,0,0,0,0,0,0,0,0,0,0,16,9,24,13,0,0,0,0,0,0,0,0,0,407,336,743
Region I,Ilocos Sur,Sinait,500595,Binacud Integrated School,0,ILOCOS SUR,SINAIT,1st District,BINACUD,Public,DepED Managed,School with no Annexes,All Offering,10,18,16,12,18,10,19,24,11,14,16,11,13,13,0,0,15,16,18,13,11,16,6,9,0,0,0,0,0,0,0,0,12,2,0,0,5,6,0,0,0,0,0,0,0,0,0,0,9,9,0,0,9,0,0,0,0,0,0,206,155,361
Region I,Ilocos Sur,Sinait,501547,Dadalaquiten Integrated School,Dadalaquiten Sur,ILOCOS SUR,SINAIT,1st District,DADALAQUITEN SUR,Public,DepED Managed,School with no Annexes,All Offering,12,15,15,20,15,14,23,21,20,24,15,16,16,18,0,0,6,15,6,5,7,8,9,8,0,0,0,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,159,319
Region I,Ilocos Sur,Sta. Lucia,400051,"Santa Lucia Catholic School, Inc.",none,ILOCOS SUR,SANTA LUCIA,2nd District,BURGOS (POB.),Private,Sectarian ,School with no Annexes,All Offering,13,7,9,6,15,3,10,7,8,11,6,4,5,6,0,0,22,21,23,18,18,30,24,22,0,0,0,0,0,0,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,23,0,0,0,0,0,0,0,0,0,0,0,183,180,363
Region I,Ilocos Sur,Sta. Maria,400052,"St. Mary's College Sta. Maria, Ilocos Sur, Inc.",Poblacion Sur,ILOCOS SUR,SANTA MARIA,2nd District,POBLACION SUR,Private,Sectarian ,School with no Annexes,All Offering,6,0,9,5,8,5,7,6,4,7,9,3,7,6,0,0,14,28,32,30,15,26,22,25,0,0,1,2,10,6,7,3,5,1,0,0,0,0,0,0,0,0,0,0,5,8,5,7,16,8,0,0,0,0,0,0,0,0,0,199,159,358
Region I,Ilocos Sur,Tagudin,400056,St.  Augustine's School Inc.,RIZAL DISTRICT,ILOCOS SUR,TAGUDIN,2nd District,RIZAL (POB.),Private,Sectarian ,School with no Annexes,All Offering,10,20,11,15,11,15,13,19,13,17,21,15,23,30,0,0,32,30,29,27,30,40,29,35,0,0,2,12,18,5,31,24,0,0,0,0,0,0,0,0,0,0,5,12,16,12,12,28,0,0,0,0,0,0,0,0,0,0,0,296,366,662
Region I,Ilocos Sur,Tagudin,500347,Pudoc West Integrated School,"Brgy. Pudoc West, Tagudin, Ilocos Sur",ILOCOS SUR,TAGUDIN,2nd District,PUDOC WEST,Public,DepED Managed,School with no Annexes,All Offering,18,9,15,25,16,15,29,23,11,18,19,7,15,24,0,0,45,45,37,43,30,40,49,41,0,0,0,0,0,0,0,0,21,26,0,0,17,14,0,0,0,0,0,0,0,0,0,0,14,16,0,0,22,14,0,0,0,0,0,385,333,718
Region I,Ilocos Sur,Tagudin,500349,Ambalayat Integrated School,Centro East,ILOCOS SUR,TAGUDIN,2nd District,AMBALAYAT,Public,DepED Managed,School with no Annexes,All Offering,16,13,19,17,15,16,18,22,16,14,18,8,24,21,0,0,23,20,20,21,12,23,12,10,0,0,0,0,0,0,0,0,0,0,0,0,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,0,0,0,0,0,242,187,429
Region I,Ilocos Sur,Tagudin,500597,Garitan Integrated  School,GARITAN,ILOCOS SUR,TAGUDIN,1st District,GARITAN,Public,DepED Managed,School with no Annexes,All Offering,14,8,9,20,22,11,26,21,17,16,15,14,29,14,0,0,19,25,23,26,19,8,19,17,0,0,0,0,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,247,194,441
Region I,La Union,Agoo East,400067,Agoo Kiddie Special School,Consolacion,LA UNION,AGOO,2nd District,CONSOLACION (POB.),Private,Non-Sectarian ,School with no Annexes,All Offering,19,6,17,18,13,8,20,11,22,14,9,12,10,13,4,3,18,33,38,26,19,16,24,41,0,0,2,3,0,0,37,33,0,0,0,0,0,0,0,0,0,0,4,8,0,0,25,29,0,0,0,0,0,0,0,0,0,0,7,293,262,555
Region I,La Union,Agoo East,400068,"Agoo Montessori Learning Center & High School, Inc.","Aspiras Road, San Antonio, Agoo, La Union",LA UNION,AGOO,2nd District,SAN ANTONIO,Private,Non-Sectarian ,School with no Annexes,All Offering,15,10,34,24,25,21,19,23,28,28,38,17,28,21,0,0,16,16,15,20,11,13,14,15,0,0,2,1,2,0,10,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,8,0,0,0,0,0,0,0,0,0,0,0,248,235,483
Region I,La Union,Agoo East,411016,Polytechnic College of La Union,Don Pastor L. Panay Street,LA UNION,AGOO,2nd District,SAN NICOLAS SUR (POB.),Private,Non-Sectarian ,Mother school,All Offering,8,2,7,3,5,7,4,5,3,5,5,2,4,3,0,0,13,22,17,16,17,23,28,23,0,0,8,33,55,49,42,62,0,0,0,0,68,27,0,0,0,0,5,26,28,40,39,56,0,0,0,0,59,13,0,0,0,0,0,411,421,832
Region I,La Union,Agoo East,500359,Capas Integrated School,Brgy. Capas,LA UNION,AGOO,2nd District,CAPAS,Public,DepED Managed,School with no Annexes,All Offering,12,7,7,4,12,12,13,15,7,9,6,8,7,8,0,0,13,20,22,21,21,21,15,24,0,0,0,0,0,0,0,0,0,0,0,0,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,0,0,0,0,0,185,146,331
Region I,La Union,Agoo East,600004,Don Mariano Marcos Memorial State University-South La Union Campus,Consolacion,LA UNION,AGOO,2nd District,CONSOLACION (POB.),SUCsLUCs,SUC Managed,Mother school,All Offering,21,10,12,10,24,21,30,28,22,22,22,21,32,27,0,0,21,12,25,20,29,18,25,18,0,0,0,0,6,13,6,19,0,0,0,0,0,0,0,0,0,0,0,0,11,16,10,17,0,0,0,0,0,0,0,0,0,0,0,257,311,568
Region I,La Union,Agoo West,500563,San Julian Integrated School,-,LA UNION,AGOO,2nd District,SAN JULIAN CENTRAL,Public,DepED Managed,School with no Annexes,All Offering,51,31,59,32,26,36,45,37,42,41,38,36,50,40,0,0,31,35,29,34,37,34,27,20,0,0,0,0,18,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,445,427,872
Region I,La Union,Aringay,400072,"ASSATT CHRISTIAN SCHOOL, INC.",San Eugenio,LA UNION,ARINGAY,2nd District,SAN EUGENIO,Private,Non-Sectarian ,School with no Annexes,All Offering,7,5,3,11,10,4,6,2,6,6,5,4,6,4,0,0,15,12,20,15,15,16,18,21,0,0,0,0,4,5,0,0,1,16,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,5,0,0,0,0,0,0,0,0,0,119,132,251
Region I,La Union,Bacnotan,400075,"Lord of Zion Divine School, Inc.","Sitio Paratong,Poblacion,Bacnotan,",LA UNION,BACNOTAN,1st District,POBLACION,Private,Non-Sectarian ,School with no Annexes,All Offering,9,11,15,14,18,11,12,15,17,12,18,11,11,12,0,0,14,17,12,15,16,13,15,20,0,0,1,1,15,11,5,7,14,11,0,0,0,0,0,0,0,0,0,5,7,7,10,10,16,9,0,0,0,0,0,0,0,0,0,220,217,437
Region I,La Union,Bacnotan,400076,"St. Anthony Montessori Educational Network, Inc.",12 Guerrero,LA UNION,BACNOTAN,1st District,POBLACION,Private,Non-Sectarian ,School with no Annexes,All Offering,5,7,11,3,3,4,5,6,4,3,6,2,7,5,0,0,7,3,6,2,7,4,6,3,0,0,4,4,1,3,0,0,5,2,0,0,0,0,0,0,0,0,0,2,2,3,0,0,5,6,0,0,0,0,0,0,0,0,0,72,74,146
Region I,La Union,Bacnotan,500351,Bitalag Integrated School,F. RODRIGUEZ RD.,LA UNION,BACNOTAN,1st District,BITALAG,Public,DepED Managed,School with no Annexes,All Offering,22,19,32,37,30,23,31,31,19,25,26,17,21,26,0,0,44,48,36,47,38,25,40,40,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11,0,0,0,0,0,416,323,739
Region I,La Union,Bacnotan,600003,Don Mariano Marcos Memorial State University- North La Union Campus,Sapilang,LA UNION,BACNOTAN,1st District,SAPILANG,SUCsLUCs,SUC Managed,Mother school,All Offering,9,12,14,9,12,10,12,16,11,13,8,8,14,9,0,0,20,17,13,21,15,15,14,17,0,0,0,0,0,0,13,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,19,0,0,0,0,0,0,0,0,0,0,0,180,178,358
Region I,La Union,Bagulin,500350,Baay Integrated School,BAAY,LA UNION,BAGULIN,2nd District,BAAY,Public,DepED Managed,School with no Annexes,All Offering,18,9,5,9,14,7,12,9,12,10,9,8,7,9,0,0,12,18,18,14,12,17,15,18,0,0,0,0,0,0,0,0,0,0,0,0,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,0,0,0,0,167,140,307
Region I,La Union,Bagulin,500352,Dagup Integrated School,"Dagup, Bagulin, La Union",LA UNION,BAGULIN,2nd District,DAGUP,Public,DepED Managed,School with no Annexes,All Offering,18,19,14,20,19,19,25,21,13,12,27,22,20,22,0,0,23,27,28,32,20,19,15,18,0,0,0,0,0,0,0,0,0,0,0,0,20,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,10,0,0,0,0,0,288,229,517
Region I,La Union,Balaoan,400080,Osias Educational Foundation,Dr. Camilo Osias,LA UNION,BALAOAN,1st District,DR. CAMILO OSIAS POB. (CABUAAN ESTE),Private,Non-Sectarian ,School with no Annexes,All Offering,5,7,6,12,10,11,25,17,10,9,13,10,17,11,0,0,42,26,37,45,32,31,34,40,0,0,0,0,16,10,19,19,17,9,0,0,0,0,0,0,0,0,0,0,15,28,0,0,19,16,0,0,0,0,0,0,0,0,0,322,296,618
Region I,La Union,Balaoan,400081,San Nicolas Academy,Dr. Camilo Osias,LA UNION,BALAOAN,1st District,DR. CAMILO OSIAS POB. (CABUAAN ESTE),Private,Sectarian ,School with no Annexes,All Offering,10,10,16,11,11,3,9,12,11,5,12,8,15,13,0,0,16,23,22,24,16,19,16,17,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,142,303
Region I,La Union,Bangar,400082,Saint Christopher Academy,"Central East 1, Bangar, La union",LA UNION,BANGAR,1st District,CENTRAL EAST NO. 1 (POB.),Private,Sectarian ,School with no Annexes,All Offering,7,4,12,2,4,2,6,5,4,8,5,7,6,8,0,0,26,32,31,35,16,26,33,32,0,0,0,0,13,4,0,0,5,12,0,0,0,0,0,0,0,0,0,0,5,10,0,0,11,9,0,0,0,0,0,0,0,0,0,196,184,380
Region I,La Union,Bangar,411033,St. Bernard College,"No, 007, Sector 5",LA UNION,BANGAR,1st District,SAN BLAS,Private,Non-Sectarian ,School with no Annexes,All Offering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,17,15,32
Region I,La Union,Bangar,500353,Mindoro Integrated School,MINDORO ST.,LA UNION,BANGAR,1st District,MINDORO,Public,DepED Managed,School with no Annexes,All Offering,19,22,16,23,23,19,18,33,10,16,26,25,21,21,0,0,12,14,28,22,17,22,23,17,0,0,0,0,0,0,0,0,19,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,0,0,0,0,0,0,0,0,0,264,248,512
Region I,La Union,Bauang North,400084,"La Union Colleges of Science and Technology, Inc.",Pescadores St.,LA UNION,BAUANG,2nd District,CENTRAL WEST (POB.),Private,Non-Sectarian ,School with no Annexes,All Offering,3,2,5,1,7,6,4,4,7,7,4,8,7,3,0,0,8,7,7,7,10,6,7,9,0,0,3,8,12,19,13,21,0,0,0,0,12,8,0,0,0,0,4,14,6,12,12,23,0,0,0,0,26,12,0,0,0,0,0,147,187,334
Region I,La Union,Bauang North,400086,"St. Anthony Montessori Educational Network, Inc. (Bauang)",3 Corner Nera and Libertad Sts.,LA UNION,BAUANG,2nd District,CENTRAL EAST (POB.),Private,Non-Sectarian ,School with no Annexes,All Offering,1,1,17,16,8,8,5,5,20,11,11,7,8,9,0,0,12,11,15,5,10,15,5,6,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,1,2,0,0,12,5,0,0,0,0,0,0,0,0,0,123,116,239
Region I,La Union,Bauang South,500358,Casilagan Integrated School,Casilagan,LA UNION,BAUANG,2nd District,CASILAGAN,Public,DepED Managed,School with no Annexes,All Offering,16,13,11,9,11,13,18,15,10,12,14,10,17,12,0,0,16,32,24,42,9,18,19,18,0,0,0,0,0,0,0,0,0,0,0,0,26,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,32,0,0,0,0,0,293,205,498
Region I,La Union,Burgos,500600,Libtong Integrated School,-,LA UNION,BURGOS,2nd District,OLD POBLACION,Public,DepED Managed,School with no Annexes,All Offering,7,7,4,10,9,7,9,13,3,5,12,11,6,10,0,0,9,11,6,16,4,13,8,10,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,117,100,217
Region I,La Union,Caba,400091,St. John the Baptist Learning Center,"Poblacion Sur, Caba La Union",LA UNION,CABA,2nd District,POBLACION SUR,Private,Sectarian ,School with no Annexes,All Offering,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,5,2,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,24
Region I,La Union,Caba,500357,Liquicia Integrated School,-Liquicia,LA UNION,CABA,2nd District,LIQUICIA,Public,DepED Managed,School with no Annexes,All Offering,14,5,9,8,11,14,9,10,10,7,11,15,10,10,0,0,13,9,10,15,5,15,17,9,0,0,0,0,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,149,136,285
Region I,La Union,Caba,500362,Santiago Sur Integrated School,Santiago Sur,LA UNION,CABA,2nd District,SANTIAGO SUR,Public,DepED Managed,School with no Annexes,All Offering,18,16,21,21,21,23,17,24,16,18,21,22,22,27,0,0,11,16,21,20,15,7,15,17,0,0,0,0,0,0,0,0,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,10,0,0,0,0,0,0,0,0,0,240,223,463
Region I,La Union,Luna II,500354,Bungro-Sucoc Integrated School,"Bungro-Sucoc Sur, Luna, La Union",LA UNION,LUNA,1st District,BUNGRO,Public,DepED Managed,School with no Annexes,All Offering,13,10,25,8,19,10,18,24,18,14,19,14,20,12,0,0,12,16,17,13,6,8,11,10,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0,0,0,193,154,347
Region I,La Union,Naguilian,411048,COLEGIO de LA UNION,"E. Rimando St., Nativividad",LA UNION,NAGUILIAN,2nd District,NATIVIDAD (POB.),Private,Sectarian ,School with no Annexes,All Offering,6,5,2,8,6,5,6,2,7,3,8,4,5,5,0,0,5,6,5,5,3,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,60,54,114
Region I,La Union,Naguilian,500360,Daramuangan Integrated School,"Daramuangan, Naguilian, La, Union",LA UNION,NAGUILIAN,2nd District,DARAMUANGAN,Public,DepED Managed,School with no Annexes,All Offering,11,13,7,13,15,10,16,14,17,13,13,15,14,18,0,0,19,10,14,18,11,14,12,11,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,152,158,310
Region I,La Union,Pugo,400097,Pugo Catholic School,-,LA UNION,PUGO,2nd District,TAVORA EAST,Private,Non-Sectarian ,School with no Annexes,All Offering,4,4,8,3,6,3,12,11,7,14,11,3,12,8,0,0,15,17,12,10,10,10,10,20,0,0,0,0,8,2,18,8,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,11,0,0,0,0,0,0,0,0,0,0,0,136,134,270
