Region,Division,District,BEIS School ID,School Name,Street Address,Province,Municipality,Legislative District,Barangay,Sector,School Subclassification,School Type,Modified COC,G1 Male,G2 Male,G3 Male,G4 Male,G5 Male,G6 Male,G1 Female,G2 Female,G3 Female,G4 Female,G5 Female,G6 Female,Elem NG Male,Elem NG Female,G7 Male,G8 Male,G9 Male,G10 Male,G7 Female,G8 Female,G9 Female,G10 Female,JHS NG Male,JHS NG Female,Total Non-Graded Enrollment,Total Male Enrollment,Total Female Enrollment,Total Enrollment
Region I,Ilocos Norte,Dingras I,400011,"Dingras Faith Academy, Inc.","Root Street, Madamba, Dingras, Ilocos Norte",ILOCOS NORTE,DINGRAS,2nd District,MADAMBA (POB.),Private,Non-Sectarian ,School with no Annexes,ES and JHS,19,13,10,7,8,15,10,7,17,3,17,11,0,0,12,8,14,19,10,12,8,4,0,0,0,143,121,264
Region I,Ilocos Norte,Marcos-Nueva Era,502582,Garnaden Integrated School,Garnaden,ILOCOS NORTE,NUEVA ERA,2nd District,GARNADEN,Public,DepED Managed,School with no Annexes,ES and JHS,7,8,4,1,7,3,3,7,3,2,12,11,0,0,24,0,0,0,17,0,0,0,0,0,0,59,63,122
Region I,Ilocos Norte,Adams-Pagudpud,502581,Balaoi Integrated School,"Brgy. Balaoi, Pagudpud, Ilocos Norte",ILOCOS NORTE,PAGUDPUD,1st District,BALAOI,Public,DepED Managed,School with no Annexes,ES and JHS,4,4,2,3,3,4,2,4,9,0,7,5,0,0,12,0,0,0,12,0,0,0,0,0,0,35,41,76
Region I,Ilocos Sur,Bantay,502102,Bantay West Integrated School,National Highway,ILOCOS SUR,BANTAY,1st District,BARANGAY 5 (POB.),Public,DepED Managed,School with no Annexes,ES and JHS,20,28,22,19,17,24,18,17,20,15,23,23,17,5,11,19,12,6,10,6,9,5,0,0,22,214,166,380
Region I,Ilocos Sur,Cabugao,502497,Cabugao Integrated School,none,ILOCOS SUR,CABUGAO,1st District,BONIFACIO (POB.),Public,DepED Managed,School with no Annexes,ES and JHS,36,30,39,29,49,43,26,35,39,25,36,40,11,8,28,0,0,0,22,0,0,0,0,0,19,300,252,552
Region I,Ilocos Sur,Cervantes-Quirino,501744,Patungcaleo Integrated School,-n/a,ILOCOS SUR,QUIRINO (ANGKAKI),2nd District,PATUNGCALEO (LAMAG),Public,DepED Managed,School with no Annexes,ES and JHS,8,18,19,9,17,11,6,15,10,11,13,18,0,0,17,10,15,31,17,9,11,19,0,0,0,168,136,304
Region I,Ilocos Sur,Cervantes-Quirino,502104,Daing Integrated School,-n/a,ILOCOS SUR,CERVANTES,2nd District,REMEDIOS,Public,DepED Managed,School with no Annexes,ES and JHS,17,7,10,17,8,10,6,12,8,6,8,14,0,0,20,12,13,8,5,12,16,11,0,0,0,126,101,227
Region I,Ilocos Sur,Magsingal,502318,Patong Integrated School,PATONG,ILOCOS SUR,MAGSINGAL,1st District,PATONG,Public,DepED Managed,School with no Annexes,ES and JHS,19,15,17,12,19,8,12,8,20,13,16,25,0,0,9,14,0,0,9,13,0,0,0,0,0,126,127,253
Region I,Ilocos Sur,Narvacan South-Nagbukel,501026,Bantugo-Mission Integrated School,-,ILOCOS SUR,NAGBUKEL,2nd District,BANTUGO,Public,DepED Managed,School with no Annexes,ES and JHS,11,8,22,14,26,14,10,11,20,14,24,9,0,0,11,12,18,14,8,14,9,12,0,0,0,164,145,309
Region I,Ilocos Sur,Salcedo-Galimuyod-Sigay-Del Pilar,501745,Galimuyod Integrated School,"Calongbuyan,Galimuyod , Ilocos Sur",ILOCOS SUR,GALIMUYOD,2nd District,CALONGBUYAN,Public,DepED Managed,School with no Annexes,ES and JHS,16,22,34,19,32,26,15,22,28,19,30,26,0,0,18,30,24,31,19,20,20,15,0,0,0,262,229,491
Region I,Ilocos Sur,Salcedo-Galimuyod-Sigay-Del Pilar,502100,Boguibog Integrated School,na,ILOCOS SUR,SALCEDO (BAUGEN),2nd District,BOGUIBOG,Public,DepED Managed,School with no Annexes,ES and JHS,8,4,6,5,7,7,4,4,5,8,6,5,0,0,2,6,7,0,9,3,6,0,0,0,0,56,54,110
Region I,Ilocos Sur,Salcedo-Galimuyod-Sigay-Del Pilar,502498,Pias Integrated School,n / a,ILOCOS SUR,SALCEDO (BAUGEN),2nd District,PIAS,Public,DepED Managed,School with no Annexes,ES and JHS,5,4,7,6,11,10,4,4,10,3,6,5,0,0,6,0,0,0,6,0,0,0,0,0,0,52,46,98
Region I,Ilocos Sur,San Vicente,410518,"Jenefa Scholastica, Inc.",National Road,ILOCOS SUR,SAN VICENTE,1st District,BAYUBAY SUR,Private,Sectarian ,School with no Annexes,ES and JHS,30,26,32,17,23,25,28,17,19,13,32,12,0,0,11,17,14,10,7,6,10,9,0,0,0,234,176,410
Region I,Ilocos Sur,Santiago,502101,Dan-ar Integrated School,-n/a,ILOCOS SUR,SANTIAGO,2nd District,DAN-AR,Public,DepED Managed,School with no Annexes,ES and JHS,17,19,26,17,36,27,16,15,32,25,20,22,0,0,18,29,18,0,6,26,16,0,0,0,0,223,192,415
Region I,Ilocos Sur,Sta. Catalina,502103,Pangada-Cabaroan Integrated School,"Pangada, Sta. Catalina, Ilocos Sur",ILOCOS SUR,SANTA CATALINA,1st District,PANGADA,Public,DepED Managed,School with no Annexes,ES and JHS,22,8,13,17,15,10,11,13,13,8,14,9,0,0,26,21,15,8,15,15,14,3,0,0,0,165,125,290
Region I,Ilocos Sur,Sta. Lucia,502099,Paoc Integrated School,-,ILOCOS SUR,SANTA LUCIA,2nd District,PAOC NORTE,Public,DepED Managed,School with no Annexes,ES and JHS,16,16,17,7,19,16,12,11,17,14,7,15,0,0,14,9,17,0,10,15,14,0,0,0,0,141,128,269
Region I,Ilocos Sur,Sta. Maria,502542,Silag-Pacang Integrated School,Pacang,ILOCOS SUR,SANTA MARIA,2nd District,PACANG,Public,DepED Managed,School with no Annexes,ES and JHS,11,23,21,15,24,22,11,13,13,19,22,19,0,0,14,0,0,0,5,0,0,0,0,0,0,143,114,257
Region I,Ilocos Sur,Sto. Domingo-San Ildefonso,502098,Sto. Domingo Integrated School,"Maharlika Highway, Poblacion, Sto. Domingo",ILOCOS SUR,SANTO DOMINGO,1st District,POBLACION,Public,DepED Managed,School with no Annexes,ES and JHS,18,21,24,16,33,25,12,18,20,17,32,24,0,0,22,23,30,0,17,18,24,0,0,0,0,238,194,432
Region I,Ilocos Sur,Suyo,501746,Butac Integrated School,Butac,ILOCOS SUR,SUYO,2nd District,MAN-ATONG,Public,DepED Managed,School with no Annexes,ES and JHS,3,2,3,5,6,5,5,4,5,4,7,8,0,0,14,14,16,13,7,12,7,6,0,0,0,87,67,154
Region I,Ilocos Sur,Tagudin,410523,Christ Servant Academy of Tagudin Inc.,National Highway,ILOCOS SUR,TAGUDIN,2nd District,DEL PILAR (POB.),Private,Sectarian ,School with no Annexes,ES and JHS,6,8,7,5,7,4,3,8,9,1,5,5,0,0,3,7,1,8,3,5,1,2,0,0,0,67,49,116
Region I,La Union,Agoo West,502074,Cubal Integrated School,NATIONAL HIGHWAY,LA UNION,AGOO,2nd District,SAN PEDRO,Public,DepED Managed,School with no Annexes,ES and JHS,41,50,43,50,43,45,39,46,42,46,48,51,0,0,31,35,39,0,12,26,21,0,0,0,0,420,356,776
Region I,La Union,Aringay,500470,San Simon ES,san simon east,LA UNION,ARINGAY,2nd District,SAN SIMON EAST,Public,DepED Managed,School with no Annexes,ES and JHS,18,14,26,16,13,24,17,16,10,20,22,15,0,0,18,17,25,15,13,15,14,19,0,0,0,194,176,370
Region I,La Union,Aringay,501197,Dulao Integrated School,-,LA UNION,ARINGAY,2nd District,DULAO,Public,DepED Managed,School with no Annexes,ES and JHS,18,21,44,24,39,50,31,28,35,31,29,50,0,0,33,29,32,37,21,24,36,25,0,0,0,352,336,688
Region I,La Union,Bacnotan,411050,St. Michael Archangel Learning Center,Raois,LA UNION,BACNOTAN,1st District,RAOIS,Private,Sectarian ,School with no Annexes,ES and JHS,13,8,12,5,14,10,12,8,13,13,16,7,0,0,5,8,9,4,4,3,7,1,0,0,0,93,97,190
Region I,La Union,Bacnotan,502572,Zaragosa Integrated School,-,LA UNION,BACNOTAN,1st District,ZARAGOSA,Public,DepED Managed,School with no Annexes,ES and JHS,20,17,22,18,20,23,10,18,22,13,20,28,0,0,12,0,0,0,22,0,0,0,0,0,0,151,144,295
Region I,La Union,Bacnotan,502579,Quirino Integrated School,"Galongen, Bacnotan, La Union",LA UNION,BACNOTAN,1st District,QUIRINO,Public,DepED Managed,School with no Annexes,ES and JHS,12,6,15,8,12,14,12,11,16,12,10,11,0,0,10,0,0,0,11,0,0,0,0,0,0,91,92,183
Region I,La Union,Bangar,411032,Philippine Bethel Blessed Christian Academy,Consuegra,LA UNION,BANGAR,1st District,CONSUEGRA,Private,Non-Sectarian ,School with no Annexes,ES and JHS,3,1,0,0,3,1,1,2,1,3,0,2,0,0,0,0,5,3,1,3,2,1,0,0,0,19,17,36
Region I,La Union,Bangar,500797,Luzong Sur Integrated School,NIA road,LA UNION,BANGAR,1st District,LUZONG SUR,Public,DepED Managed,School with no Annexes,ES and JHS,9,17,20,16,18,17,8,8,14,10,18,13,0,0,23,23,13,20,20,17,16,7,0,0,0,187,143,330
Region I,La Union,Bangar,502578,Paratong Integrated School,NATIONAL RD.,LA UNION,BANGAR,1st District,PARATONG NO. 3,Public,DepED Managed,School with no Annexes,ES and JHS,27,34,37,32,48,41,24,30,24,27,29,26,0,0,15,0,0,0,6,0,0,0,0,0,0,258,189,447
Region I,La Union,Bauang South,501196,Parian Este Integrated School,Parian Este,LA UNION,BAUANG,2nd District,PARIAN ESTE,Public,DepED Managed,School with no Annexes,ES and JHS,14,15,22,19,17,20,22,17,24,17,21,18,0,0,13,18,11,16,10,15,17,12,0,0,0,179,187,366
Region I,La Union,Bauang South,502580,Bucayab Integrated School,none,LA UNION,BAUANG,2nd District,BUCAYAB,Public,DepED Managed,School with no Annexes,ES and JHS,7,14,9,9,14,13,10,4,8,11,20,16,0,0,12,0,0,0,11,0,0,0,0,0,0,87,89,176
Region I,La Union,Burgos,502574,Delles Integrated School,Cabugao,LA UNION,BURGOS,2nd District,DELLES,Public,DepED Managed,School with no Annexes,ES and JHS,5,10,6,6,13,9,11,8,7,4,11,12,0,0,8,0,0,0,16,0,0,0,0,0,0,70,73,143
Region I,La Union,Naguilian,400093,Holy Infant Niño Montessori and High School,#26 Madayag Street,LA UNION,NAGUILIAN,2nd District,NATIVIDAD (POB.),Private,Non-Sectarian ,School with no Annexes,ES and JHS,9,7,8,6,11,7,9,6,11,4,6,6,0,0,7,10,6,10,6,7,12,10,0,0,0,85,79,164
Region I,La Union,Naguilian,500355,Suguidan Integrated School,Sitio School Site,LA UNION,NAGUILIAN,2nd District,SUGUIDAN SUR,Public,DepED Managed,School with no Annexes,ES and JHS,7,5,9,9,8,14,9,6,8,8,9,10,0,0,5,4,8,11,2,5,13,8,0,0,0,90,85,175
Region I,La Union,Naguilian,500495,Casilagan Elementary School,"Casilagan, Naguilian, La Union",LA UNION,NAGUILIAN,2nd District,CASILAGAN,Public,DepED Managed,School with no Annexes,ES and JHS,12,20,22,24,18,30,21,14,15,20,18,8,0,0,12,16,16,10,13,21,12,13,0,0,0,197,167,364
Region I,La Union,Naguilian,501362,Cabaritan Sur Integrated School,-,LA UNION,NAGUILIAN,2nd District,CABARITAN SUR,Public,DepED Managed,School with no Annexes,ES and JHS,25,21,27,23,27,23,16,26,22,27,27,30,0,0,17,19,17,18,9,19,16,19,0,0,0,241,225,466
Region I,La Union,San Gabriel,502075,Nayba Integrated School,-,LA UNION,SAN GABRIEL,1st District,APAYAO,Public,DepED Managed,School with no Annexes,ES and JHS,10,12,14,8,8,7,8,3,15,11,8,9,0,0,12,10,6,0,10,9,10,0,0,0,0,96,95,191
Region I,La Union,San Gabriel,502238,Lacong Integrated School,"Lacong,San Gabriel, La Union",LA UNION,SAN GABRIEL,1st District,LACONG,Public,DepED Managed,Mother school,ES and JHS,7,8,7,9,8,9,4,7,11,6,8,8,0,0,5,5,0,0,6,6,0,0,0,0,0,62,60,122
Region I,La Union,Santol,500363,La Union Special School for Culture and Arts,"Mangaan, Santol, La Union",LA UNION,SANTOL,1st District,MANGAAN,Public,DepED Managed,School with no Annexes,ES and JHS,4,2,11,4,6,11,2,3,7,4,8,4,0,0,8,9,12,5,5,4,8,8,0,0,0,75,58,133
Region I,La Union,Santol,500471,BAY-O ELEMENTARY SCHOOL,BAY-O,LA UNION,SANTOL,1st District,SASABA,Public,DepED Managed,School with no Annexes,ES and JHS,6,5,13,9,13,6,5,7,5,5,10,14,0,0,8,11,9,6,14,8,17,10,0,0,0,91,100,191
Region I,La Union,Sto. Tomas,501164,Cupang Integrated School,-,LA UNION,SANTO TOMAS,2nd District,CASANTAAN,Public,DepED Managed,School with no Annexes,ES and JHS,52,31,43,35,49,43,36,48,30,41,40,50,0,0,16,15,30,15,9,26,21,18,0,0,0,366,361,727
Region I,"Pangasinan I, Lingayen",Agno,411527,"Silvery Christian Academy, Inc.",Zone 1 Bantayan Lingayen Pangasinan,PANGASINAN,LINGAYEN (Capital),2nd District,BANTAYAN,Private,Sectarian ,School with no Annexes,ES and JHS,3,3,1,1,3,4,2,1,3,0,1,0,0,0,1,1,1,2,1,1,0,0,0,0,0,27,11,38
Region I,"Pangasinan I, Lingayen",Agno,411534,"Emmanuel's Way Educational Institutions, Inc.",Quezon Blvd.,PANGASINAN,BAYAMBANG,3rd District,POBLACION SUR,Private,Sectarian ,School with no Annexes,ES and JHS,4,2,3,3,0,3,3,1,0,0,3,3,0,0,2,0,2,1,0,0,0,0,0,0,0,22,10,32
Region I,"Pangasinan I, Lingayen",Anda,500371,Awag Integrated School,"Awag, Anda, Pangasinan",PANGASINAN,ANDA,1st District,AWAG,Public,DepED Managed,School with no Annexes,ES and JHS,31,15,27,35,28,21,20,15,22,21,21,27,0,0,14,23,19,21,13,16,17,18,0,0,0,267,212,479
Region I,"Pangasinan I, Lingayen",Bani,411575,"Full of Grace School of Bani, Inc.","111 Quinaoayanan Bani, Pangasinan",PANGASINAN,BANI,2nd District,QUINAOAYANAN,Private,Non-Sectarian ,School with no Annexes,ES and JHS,5,6,10,1,9,6,9,12,4,4,4,1,0,0,1,4,0,3,3,6,0,0,0,0,0,46,49,95
Region I,"Pangasinan I, Lingayen",Bayambang I,409466,ST. ALEXANDER M. SAULI CATHOLIC SCHOOL INC.,"Sapang, Bayambang, Pangasinan",PANGASINAN,BAYAMBANG,3rd District,SAPANG,Private,Non-Sectarian ,School with no Annexes,ES and JHS,11,10,10,7,8,2,15,8,7,7,7,3,0,0,3,0,0,0,6,0,0,0,0,0,0,69,65,134
Region I,"Pangasinan I, Lingayen",Bayambang II,411574,"Asiana Learning Institute, Inc.",Bical Sur,PANGASINAN,BAYAMBANG,3rd District,BICAL SUR,Private,Non-Sectarian ,School with no Annexes,ES and JHS,11,7,12,8,5,10,11,8,13,10,8,3,0,0,3,4,3,2,6,6,4,2,0,0,0,74,82,156
Region I,"Pangasinan I, Lingayen",Bugallon I,400153,St. Andrew Catholic School,N.Espino St.,PANGASINAN,BUGALLON,2nd District,POBLACION,Private,Sectarian ,School with no Annexes,ES and JHS,11,8,7,9,10,15,7,15,14,7,10,9,0,0,33,44,29,34,42,33,27,37,0,0,0,209,214,423
Region I,"Pangasinan I, Lingayen",Bugallon I,408669,"BUGALLON KIDSWORLD ACADEMY, INC.","271 Sison St., Samat, Bugallon, Pangasinan",PANGASINAN,BUGALLON,2nd District,SAMAT,Private,Non-Sectarian ,School with no Annexes,ES and JHS,11,16,6,9,8,6,12,14,10,7,6,4,0,0,4,3,5,2,3,0,5,2,0,0,0,89,75,164
Region I,"Pangasinan I, Lingayen",Calasiao I,400154,Calasiao Educational Center,#46 W. A. Jones,PANGASINAN,CALASIAO,3rd District,NALSIAN,Private,Sectarian ,School with no Annexes,ES and JHS,3,7,12,4,3,5,5,4,2,3,3,4,0,0,3,6,3,5,3,5,4,4,0,0,0,58,43,101
Region I,"Pangasinan I, Lingayen",Calasiao I,400155,Precious Minds Montessori and High School,Nalsian Centro,PANGASINAN,CALASIAO,3rd District,POBLACION WEST,Private,Non-Sectarian ,School with no Annexes,ES and JHS,6,6,7,6,8,5,12,8,4,9,3,2,0,0,6,7,6,8,3,5,1,10,0,0,0,70,62,132
Region I,"Pangasinan I, Lingayen",Calasiao I,411518,Mother Lourdes Learning School,"Nalsian, Calasiao, Pangasinan",PANGASINAN,CALASIAO,3rd District,NALSIAN,Private,Non-Sectarian ,School with no Annexes,ES and JHS,18,11,7,8,21,9,14,11,6,13,15,7,0,0,15,13,15,11,20,10,9,11,0,0,0,140,130,270
Region I,"Pangasinan I, Lingayen",Calasiao II,411539,"Eastern Gate Christian Academy, Inc",BUENLAG,PANGASINAN,CALASIAO,3rd District,NALSIAN,Private,Non-Sectarian ,School with no Annexes,ES and JHS,2,5,5,5,8,1,4,4,8,5,7,1,0,0,3,0,0,0,3,0,0,0,0,0,0,37,35,72
Region I,"Pangasinan I, Lingayen",Lingayen I,400162,"Grace Baptist Learning Center of GFBC, Inc",#14 Alvear Street,PANGASINAN,LINGAYEN (Capital),2nd District,POBLACION,Private,Non-Sectarian ,School with no Annexes,ES and JHS,7,3,7,3,5,2,2,4,8,6,5,3,0,0,3,4,1,0,3,4,4,3,0,0,0,43,48,91
Region I,"Pangasinan I, Lingayen",Lingayen I,400163,"Harvent School Foundation, Inc.",Maramba Blvd,PANGASINAN,LINGAYEN (Capital),2nd District,POBLACION,Private,Sectarian ,School with no Annexes,ES and JHS,18,26,18,29,21,18,25,28,31,32,23,25,0,0,14,11,9,11,12,6,16,10,0,0,0,217,263,480
Region I,"Pangasinan I, Lingayen",Lingayen I,400165,"JN Montessori and High School, Inc.",# 70 Ramos St.,PANGASINAN,LINGAYEN (Capital),2nd District,POBLACION,Private,Sectarian ,School with no Annexes,ES and JHS,2,4,4,6,6,6,6,6,7,2,5,8,0,0,6,3,5,1,4,1,5,2,0,0,0,46,50,96
Region I,"Pangasinan I, Lingayen",Lingayen III,411570,"Mary Claire Academy of Lingayen, Inc.","National Highway, Balococ",PANGASINAN,LINGAYEN (Capital),2nd District,BALOCOC,Private,Non-Sectarian ,School with no Annexes,ES and JHS,4,3,5,5,3,4,4,5,5,2,5,3,0,0,4,2,6,2,0,4,4,3,0,0,0,42,36,78
Region I,"Pangasinan I, Lingayen",Mabini,502457,Dalupang Integrated School,talahib,PANGASINAN,MABINI,1st District,VILLACORTA,Public,DepED Managed,School with no Annexes,ES and JHS,1,4,1,5,2,1,1,3,1,0,1,3,0,0,4,5,0,0,0,0,0,0,0,0,0,26,10,36
Region I,"Pangasinan I, Lingayen",Mabini,502551,De Guzman Integrated School,Barangay De Guzman,PANGASINAN,MABINI,1st District,DE GUZMAN,Public,DepED Managed,School with no Annexes,ES and JHS,20,24,24,19,17,14,23,18,17,27,25,20,0,0,11,0,0,0,15,0,0,0,0,0,0,153,163,316
Region I,"Pangasinan I, Lingayen",Malasiqui I,400171,First Asian Learning Center of Northern Luzon,"Cabatling Malasiqui, Pangasinan",PANGASINAN,MALASIQUI,3rd District,POBLACION,Private,Non-Sectarian ,School with no Annexes,ES and JHS,6,8,7,9,12,5,5,11,9,4,6,7,0,0,2,2,5,7,8,7,0,4,0,0,0,70,73,143
Region I,"Pangasinan I, Lingayen",Mangatarem II,411558,World Light Giver Academy,Umangan,PANGASINAN,MANGATAREM,2nd District,UMANGAN,Private,Sectarian ,School with no Annexes,ES and JHS,0,0,0,7,4,7,0,0,0,8,7,8,0,0,3,5,3,2,4,6,4,6,0,0,0,31,43,74
Region I,"Pangasinan I, Lingayen",Mapandan,400179,Central Pangasinan Adventist School,"#18 Cosmos Street, Poblacion, Mapandan, Pangasinan",PANGASINAN,MAPANDAN,3rd District,POBLACION,Private,Non-Sectarian ,School with no Annexes,ES and JHS,17,10,18,12,18,13,15,14,14,7,17,17,0,0,15,22,22,24,17,18,18,21,0,0,0,182,175,357
Region I,"Pangasinan I, Lingayen",Mapandan,411565,ACADEMIA PRAESTANTIA,"Salumague Ext., Torres",PANGASINAN,MAPANDAN,3rd District,POBLACION,Private,Non-Sectarian ,School with no Annexes,ES and JHS,2,0,2,1,2,1,3,3,1,3,3,3,0,0,0,3,0,1,0,0,0,1,0,0,0,15,18,33
Region I,"Pangasinan I, Lingayen",Sta. Barbara II,407697,GYMNAZO CHRISTIAN ACADEMY,"303 MANINGDING, STA. BARBARA PANGASINAN",PANGASINAN,SANTA BARBARA,2nd District,MANINGDING,Private,Non-Sectarian ,School with no Annexes,ES and JHS,17,14,14,14,16,9,28,19,17,9,10,4,0,0,1,0,0,0,2,0,0,0,0,0,0,100,102,202
Region I,"Pangasinan I, Lingayen",Sual,411510,St. Peter Martyr Academy Inc.,Agbayani Ext.,PANGASINAN,SUAL,1st District,POBLACION,Private,Non-Sectarian ,School with no Annexes,ES and JHS,1,3,2,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,5,14
Region I,"Pangasinan I, Lingayen",Sual,502133,Sioasio Integrated School,Sioasio East,PANGASINAN,SUAL,1st District,SIOASIO WEST,Public,DepED Managed,School with no Annexes,ES and JHS,16,27,33,13,17,22,20,24,20,18,28,19,0,0,23,18,16,22,17,23,17,16,0,0,0,222,219,441
Region I,"Pangasinan I, Lingayen",Urbiztondo,408671,"LEAD ACADEMY OF URBIZTONDO, INC.","262 M.H. Del Pilar St., Urbiztondo, Pangasinan",PANGASINAN,URBIZTONDO,2nd District,POBLACION,Private,Non-Sectarian ,School with no Annexes,ES and JHS,10,12,9,10,9,1,11,7,6,4,6,7,0,0,4,4,1,0,1,1,1,0,0,0,0,68,56,124
Region I,"Pangasinan II, Binalonan",Alcala,400188,"Holy Family Educational Institution, Inc.",National Rd.,PANGASINAN,ALCALA,5th District,PINDANGAN WEST,Private,Non-Sectarian ,School with no Annexes,ES and JHS,6,11,3,3,8,9,5,2,5,7,4,5,0,0,4,7,9,8,2,7,8,6,0,0,0,75,56,131
Region I,"Pangasinan II, Binalonan",Alcala,412037,VFV Christian Academy Inc.,Brgy. Sapang,PANGASINAN,MANAOAG,4th District,SAPANG,Private,Sectarian ,School with no Annexes,ES and JHS,7,10,13,9,4,9,7,9,5,3,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,57,44,101
Region I,"Pangasinan II, Binalonan",Alcala,412060,God's Favor Learning Center Inc.,Don Juan Arboleda St.,PANGASINAN,ALCALA,5th District,SAN PEDRO ILI,Private,Non-Sectarian ,School with no Annexes,ES and JHS,15,13,14,11,11,14,12,11,15,8,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,97,91,188
Region I,"Pangasinan II, Binalonan",Alcala,501897,Atainan-Caranglaan Integrated School,"Carangalan, Alcala, Pangasinan",PANGASINAN,ALCALA,5th District,CARANGLAAN,Public,DepED Managed,School with no Annexes,ES and JHS,25,31,27,28,32,32,12,23,30,19,34,22,0,0,15,18,27,12,14,12,9,9,0,0,0,269,205,474
Region I,"Pangasinan II, Binalonan",Alcala,502204,Gualsic Integrated School,Rizal,PANGASINAN,ALCALA,5th District,GUALSIC,Public,DepED Managed,School with no Annexes,ES and JHS,30,19,32,16,17,18,22,24,22,14,27,21,0,0,14,18,16,0,11,13,12,0,0,0,0,201,183,384
Region I,"Pangasinan II, Binalonan",Alcala,502319,Vacante Integrated School,Catalon St.,PANGASINAN,ALCALA,5th District,VACANTE,Public,DepED Managed,School with no Annexes,ES and JHS,9,16,14,8,13,16,11,7,8,6,6,13,0,0,6,8,0,0,4,6,0,0,0,0,0,95,69,164
Region I,"Pangasinan II, Binalonan",Asingan II,400195,The Salvation Army Educational Services Inc.,"BARO, ASINGAN, PANGASINAN",PANGASINAN,ASINGAN,6th District,BARO,Private,Non-Sectarian ,School with no Annexes,ES and JHS,6,8,6,8,5,8,10,4,8,6,7,4,0,0,7,13,13,9,6,8,19,8,0,0,0,95,98,193
Region I,"Pangasinan II, Binalonan",Balungao,412019,Remnant International School,Pugaro,PANGASINAN,BALUNGAO,6th District,PUGARO,Private,Non-Sectarian ,School with no Annexes,ES and JHS,8,5,4,1,5,3,4,4,9,4,7,3,0,0,2,1,6,5,0,4,6,2,0,0,0,43,47,90
Region I,"Pangasinan II, Binalonan",Balungao,502584,Esmeralda Integrated School,-Esmeralda,PANGASINAN,BALUNGAO,6th District,ESMERALDA,Public,DepED Managed,School with no Annexes,ES and JHS,34,31,27,28,33,25,36,19,30,25,40,22,0,0,5,0,0,0,1,0,0,0,0,0,0,200,195,395
Region I,"Pangasinan II, Binalonan",Binalonan I,502306,Sta. Catalina Integrated School,-Sta. Catalina,PANGASINAN,BINALONAN,5th District,SANTA CATALINA,Public,DepED Managed,School with no Annexes,ES and JHS,17,25,19,14,22,23,21,7,19,9,14,19,2,0,18,21,16,0,4,14,11,0,0,0,2,195,135,330
Region I,"Pangasinan II, Binalonan",Binalonan II,502587,Linmansangan Integrated School,Linmansangan,PANGASINAN,BINALONAN,5th District,LINMANSANGAN,Public,DepED Managed,School with no Annexes,ES and JHS,32,33,19,35,40,34,23,20,27,25,24,22,0,0,13,0,0,0,2,0,0,0,0,0,0,227,162,389
Region I,"Pangasinan II, Binalonan",Laoac,412059,"Full of Grace Montessori and High School of Laoac, Inc.",Runez St.,PANGASINAN,LAOAC,5th District,POBLACION (LAOAC),Private,Non-Sectarian ,School with no Annexes,ES and JHS,5,4,1,1,2,1,3,2,3,1,2,1,0,0,0,0,0,2,0,1,1,0,0,0,0,16,14,30
Region I,"Pangasinan II, Binalonan",Manaoag,400204,Golden Seeds Guidance Montessori School,Sapang Manaoag Pangasinan,PANGASINAN,MANAOAG,4th District,ORAAN EAST,Private,Non-Sectarian ,School with no Annexes,ES and JHS,5,2,4,8,1,9,5,1,3,2,3,1,0,0,0,4,2,1,5,6,2,3,0,0,0,42,33,75
Region I,"Pangasinan II, Binalonan",Manaoag,410543,"St. Camillus Center for Learning Innovations and Research, Inc.",Brgy. Licsi,PANGASINAN,MANAOAG,4th District,LICSI,Private,Non-Sectarian ,School with no Annexes,ES and JHS,4,4,5,2,3,5,3,3,2,4,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,23,27,50
Region I,"Pangasinan II, Binalonan",Manaoag,412014,Our Lady of Manaoag Innovative School,"Calaocan Manaoag, Pangsinan",PANGASINAN,MANAOAG,4th District,CALAOCAN,Private,Non-Sectarian ,School with no Annexes,ES and JHS,20,9,17,9,10,16,9,9,8,11,13,14,0,0,12,16,16,11,9,15,11,5,0,0,0,146,112,258
Region I,"Pangasinan II, Binalonan",Mangaldan I,400208,Aura Vista Montessori School & High School,129 Bari Mangaldan Pangasinan,PANGASINAN,MANGALDAN,4th District,BARI,Private,Non-Sectarian ,School with no Annexes,ES and JHS,2,7,5,5,7,11,2,4,3,7,7,5,0,0,6,7,5,5,5,4,4,5,0,0,0,62,50,112
Region I,"Pangasinan II, Binalonan",Mangaldan I,400214,"The United Methodist Church Cinderella School, Inc.",01 J. JIMENEZ STTREET,PANGASINAN,MANGALDAN,4th District,POBLACION,Private,Non-Sectarian ,School with no Annexes,ES and JHS,25,15,16,18,24,22,18,15,16,22,18,14,0,0,9,13,14,7,8,9,4,10,0,0,0,186,159,345
Region I,"Pangasinan II, Binalonan",Mangaldan I,412001,Clarice Angels School,Salay,PANGASINAN,MANGALDAN,4th District,SALAY,Private,Non-Sectarian ,School with no Annexes,ES and JHS,55,46,53,36,55,41,44,46,42,40,55,36,0,0,46,48,59,57,51,51,58,52,0,0,0,555,513,1068
