region,region_id
Region I,1
Region V,2
Region XII,3
BARMM,4
MIMAROPA,5
CAR,6
Region II,7
Region VI,8
Region IV-A,9
Region III,10
Region XI,11
Region VIII,12
Region X,13
Region VII,14
NCR,15
Region IX,16
CARAGA,17
PSO,18
